fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시)_비율,도로(도시)_비율,일반주택지(도시)_비율,교육/군사시설(도시)_비율,유원지(임지)_비율,공공용지(도시)_비율,인공녹지(도시)_비율,하천(수계)_비율,고층주택지(도시)_비율,공업시설(도시)_비율,침엽수림(임지)_비율,암벽/석산(임지)_비율,미경지정리답(농지)_비율,보통/특수작물(농지)_비율,처리장(도시)_비율,저수지/늪(수계)_비율,자연초지(임지)_비율,발전시설(도시)_비율,공업나지(도시)_비율,인공초지(임지)_비율,경지정리답(농지)_비율,활엽수림(임지)_비율,철로(도시)_비율,골프장(임지)_비율,혼합수림(임지)_비율,가축/사육시설(도시)_비율,공원묘지(임지)_비율,과수원(농지)_비율,매립지(도시)_비율,순수양호,순수불량,순수양호_비율,순수불량_비율,80m_wind_speed,10m_wind_speed,difference_wind,avg_dust_10,max_dust_10,min_dust_10,max_ele,min_ele,avg_ele,num_ele,diff_ele,label,b_sum,g_sum
415,25.2,27,24,0,0,0,0,0,0,0,0,0,0,98.72421623,1.275783768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236166.374,0,57.29922311,0,5.19,4.53,0.66,52.5,53,52,682,301,499.8939394,66,381,2,0,98.72421623
416,26,27,25,0,0,0,0,0,0,0,0,0,0,99.92147094,0.078529061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344391.426,0,100,0,4.64,3.76,0.88,52.5,53,52,504,144,332.7777778,54,360,2,0,99.92147094
412,25.85714286,27,25,0,0,0,0,0,0,0,0,0,0,98.72421623,1.275783768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077730.135,0,100,0,4.41,3.98,0.43,52.5,53,52,607,216,376.4437086,151,391,3,0,98.72421623
444,20.01515152,28,13,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987949.657,0,100,0,3.52,3.38,0.14,52,52,52,480,120,284.7083333,144,360,3,0,100
445,20.70454545,27,13,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945478.218,0,100,0,3.96,3.62,0.34,51.5,52,51,545,155,324.36,150,390,3,0,100
414,31.30769231,35,27,0.131579884,12.95062119,0.554466372,0.070372468,0.484013703,0,0.037480722,0.039791132,0,0.224475135,84.95569647,0,0,0.291404772,0,0,0,0,0,0,0,0,0.260098154,0,0,0,0,0,0,872003.738,82117.67,91.39337307,8.606626925,3.23,2.87,0.36,52.5,53,52,143,28,59.6173913,115,115,1,0.980893858,85.4771909
443,28.07692308,32,25,0,22.58406284,0.939371191,0,0,0,0.708295433,0,0,0,74.98959883,0,0,0.778671698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781321.438,4473.076,99.43075754,0.569242457,3.14,2.84,0.3,52,52,52,318,32,144.7058824,119,286,1,0.939371191,75.69789427
413,26.88888889,29,26,0,0,0,0,0.411001059,0,0,0,0,0,99.58899894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974840.808,13794.976,98.60464529,1.395354712,3.74,3.22,0.52,53,53,53,383,86,195.5074627,134,297,3,0,100
411,32.06666667,36,28,0.357444954,12.08561903,2.893771869,0.426420043,0,0.164160825,0.662547382,0.788280114,1.40275314,0.472792643,79.2813076,0,0,1.222176804,0,0,0,0,0,0,0,0,0.242725592,0,0,0,0,0,0,435135.488,676455.441,39.14528957,60.85471043,2.93,2.72,0.21,52.5,53,52,45,24,31.42528736,87,21,0,5.553182648,79.94385499
396,25.55555556,27,24,0,0,0,0,0,0,0,0.006201953,0,0,99.99379805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005261.733,0,100,0,4.32,3.76,0.56,52,52,52,508,183,340.0421687,166,325,3,0,99.99379805
