fid,lat,lon,80m_wind_speed,10m_wind_speed,difference_wind
"1","37.571","126.99","3.13","2.72",0.41
"2","37.517","126.885","3.45","2.81",0.64
"3","37.59","126.967","3.56","3.13",0.43
"4","37.581","126.967","3.43","2.93",0.5
"5","37.572","126.967","3.29","2.88",0.41
"6","37.572","126.979","3.16","2.77",0.39
"7","37.581","126.99","3.13","2.81",0.32
"8","37.59","126.979","3.35","3.05",0.3
"9","37.564","126.827","3.64","2.96",0.68
"10","37.564","126.839","3.64","2.98",0.66
"11","37.573","126.827","3.62","3",0.62
"12","37.573","126.839","3.68","3.02",0.66
"13","37.582","126.827","3.62","3.09",0.53
"14","37.554","126.827","3.6","2.97",0.63
"15","37.554","126.839","3.57","2.99",0.58
"16","37.545","126.815","3.67","2.97",0.7
"17","37.545","126.827","3.56","3",0.56
"18","37.555","126.815","3.67","2.94",0.73
"19","37.545","126.804","3.77","2.98",0.79
"20","37.555","126.804","3.76","2.99",0.77
"21","37.564","126.804","3.73","2.98",0.75
"22","37.564","126.816","3.65","2.92",0.73
"23","37.573","126.804","3.71","3.06",0.65
"24","37.573","126.816","3.63","3",0.63
"25","37.582","126.804","3.68","3.14",0.54
"26","37.582","126.816","3.57","3.09",0.48
"27","37.592","126.804","3.68","3.13",0.55
"28","37.591","126.816","3.62","3.14",0.48
"29","37.573","126.792","3.79","3.07",0.72
"30","37.601","126.804","3.76","3.1",0.66
"31","37.564","126.781","3.82","3.02",0.8
"32","37.564","126.792","3.8","3.03",0.77
"33","37.546","126.792","3.8","3.04",0.76
"34","37.555","126.769","3.81","3.02",0.79
"35","37.555","126.781","3.82","3.05",0.77
"36","37.555","126.792","3.81","3.03",0.78
"37","37.508","126.885","3.43","2.8",0.63
"38","37.48","126.884","3.38","2.79",0.59
"39","37.48","126.896","3.37","2.83",0.54
"40","37.49","126.873","3.4","2.81",0.59
"41","37.489","126.884","3.4","2.82",0.58
"42","37.489","126.896","3.36","2.8",0.56
"43","37.499","126.873","3.45","2.81",0.64
"44","37.499","126.884","3.42","2.82",0.6
"45","37.499","126.896","3.38","2.8",0.58
"46","37.508","126.873","3.46","2.81",0.65
"47","37.508","126.896","3.4","2.81",0.59
"48","37.499","126.85","3.41","2.97",0.44
"49","37.499","126.861","3.43","2.84",0.59
"50","37.508","126.85","3.41","2.91",0.5
"51","37.508","126.861","3.45","2.85",0.6
"52","37.49","126.838","3.43","3.01",0.42
"53","37.49","126.85","3.41","2.98",0.43
"54","37.49","126.861","3.38","2.86",0.52
"55","37.499","126.838","3.43","3.03",0.4
"56","37.49","126.826","3.38","2.99",0.39
"57","37.499","126.826","3.45","3.06",0.39
"58","37.508","126.826","3.58","3.14",0.44
"59","37.481","126.838","3.48","2.9",0.58
"60","37.481","126.826","3.42","2.92",0.5
"61","37.471","126.884","3.35","2.78",0.57
"62","37.471","126.896","3.37","2.85",0.52
