"fid","avg_tmp","max_tmp","min_tmp","도로(도시)_비율","공공용지(도시)_비율","하천(수계)_비율","암벽/석산(임지)_비율","미경지정리답(농지)_비율","보통/특수작물(농지)_비율","저수지/늪(수계)_비율","공업나지(도시)_비율","경지정리답(농지)_비율","철로(도시)_비율","골프장(임지)_비율","공원묘지(임지)_비율","과수원(농지)_비율","순수양호","순수불량","순수양호_비율","순수불량_비율","80m_wind_speed","10m_wind_speed","difference_wind","avg_dust_10","max_dust_10","min_dust_10","max_ele","min_ele","avg_ele","num_ele","diff_ele","label","b_sum","g_sum"
415,25.2,27,24,0,0,0,1.27578376763724,0,0,0,0,0,0,0,0,0,236166.374,0,57.2992231096436,0,5.19,4.53,0.66,52.5,53,52,682,301,499.893939393939,66,381,2,0,98.7242162323628
416,26,27,25,0,0,0,0.0785290611057135,0,0,0,0,0,0,0,0,0,344391.426,0,100,0,4.64,3.76,0.88,52.5,53,52,504,144,332.777777777778,54,360,2,0,99.9214709388943
412,25.8571428571429,27,25,0,0,0,1.27578376763724,0,0,0,0,0,0,0,0,0,1077730.135,0,100,0,4.41,3.98,0.43,52.5,53,52,607,216,376.443708609272,151,391,3,0,98.7242162323628
444,20.0151515151515,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,987949.657,0,100,0,3.52,3.38,0.14,52,52,52,480,120,284.708333333333,144,360,3,0,100
445,20.7045454545455,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,945478.218,0,100,0,3.96,3.62,0.34,51.5,52,51,545,155,324.36,150,390,3,0,100
414,31.3076923076923,35,27,12.9506211878006,0,0.0397911316876812,0,0,0.291404772469258,0,0,0,0.260098153752432,0,0,0,872003.738,82117.67,91.3933730748027,8.60662692519734,3.23,2.87,0.36,52.5,53,52,143,28,59.6173913043478,115,115,1,0.980893858356269,85.4771908959338
443,28.0769230769231,32,25,22.5840628431154,0,0,0,0,0.778671697538833,0,0,0,0,0,0,0,781321.438,4473.076,99.4307575428046,0.569242457195368,3.14,2.84,0.3,52,52,52,318,32,144.705882352941,119,286,1,0.939371191126439,75.6978942682193
413,26.8888888888889,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,974840.808,13794.976,98.6046452876522,1.39535471234774,3.74,3.22,0.52,53,53,53,383,86,195.507462686567,134,297,3,0,100
411,32.0666666666667,36,28,12.0856190309839,0.164160824548719,0.788280114036522,0,0,1.22217680414546,0,0,0,0.242725592180496,0,0,0,435135.488,676455.441,39.1452895708184,60.8547104291816,2.93,2.72,0.21,52.5,53,52,45,24,31.4252873563218,87,21,0,5.5531826480952,79.9438549860097
396,25.5555555555556,27,24,0,0,0.006201952772559,0,0,0,0,0,0,0,0,0,0,1005261.733,0,100,0,4.32,3.76,0.56,52,52,52,508,183,340.042168674699,166,325,3,0,99.9937980472274
397,26.1666666666667,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1013317.899,0,100,0,3.63,3.28,0.35,52.5,53,52,434,119,273.888888888889,153,315,3,0,100
410,31.0476190476191,35,27,12.8592805780828,0.173564307230317,0.154441339639591,0,0,0.07369727126024,0,0,0,0,0,0,0,933553.948,137409.271,87.1695620762491,12.830437923751,3,2.7,0.3,53.5,54,53,122,29,60.0071428571429,140,93,1,1.87757245679195,84.8614440469951
409,27.6,30,26,0,0,0.181858854627787,0,0,0,0,0,0,0,0,0,0,1057007.808,356.265,99.9663063074397,0.0336936925603297,3.25,2.84,0.41,53.5,54,53,259,44,123.959183673469,147,215,3,0,99.8181411453722
440,29.7,34,26,22.0730292170069,0.243084981599816,0,0,0,0.519708972818851,0,0,0,0,0,0,0,1115552.063,0,100,0,2.99,2.83,0.16,51.5,52,51,173,32,86,163,141,3,3.51045794508704,73.6537188834874
442,27.6,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1235753.076,0,100,0,3.28,3.09,0.19,51.5,52,51,270,72,149.901734104046,173,198,3,1.44485130125058,98.5551486987494
441,26.8888888888889,28,26,0,0.164047011031316,0,0,0,0,0,0,0,0,0,0,0,1070118.728,0,100,0,3.18,3.09,0.0900000000000003,51.5,52,51,327,97,205.253246753247,154,230,3,0,99.8359529889687
405,31,35,27,12.6502629270619,0,0.1218462495165,0,0,0.345849648325391,0,0,0,0,0,0,0,816304.813,254793.549,76.2119373869419,23.7880626130581,2.79,2.54,0.25,54,55,53,80,25,45.7217391304348,115,55,1,3.80967635026724,83.072364824829
404,29.875,34,26,0,0,0.0863951594933452,0,0,0.190300726959519,0,0,0,0,0,0,0,1013265.695,57673.982,94.6146376646011,5.38536233539884,2.92,2.64,0.28,54,55,53,174,34,88.1111111111111,126,140,3,0.0879465912540792,99.6353575222931
438,25.3333333333333,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1014947.889,0,100,0,2.76,2.61,0.15,50.5,51,50,263,41,117.455782312925,147,222,3,2.15454649122541,97.8454535087746
406,33,36,29,12.1583014421659,0.671076573552616,1.84172640069431,0,0,0,0,0,0,0,0,0,0,184030.062,775468.58,19.1798147432917,80.8201852567083,2.75,2.57,0.18,52.5,54,51,33,23,27.5581395348837,43,10,0,5.20272925233008,80.1261663312571
