fid,lat,lon,Annual_WS,Annual_WD
"1",37.571,126.99,3.13,305.21
"2",37.517,126.885,3.45,287.77
"3",37.59,126.967,3.56,315.48
"4",37.581,126.967,3.43,314.06
"5",37.572,126.967,3.29,318.12
"6",37.572,126.979,3.16,314.18
"7",37.581,126.99,3.13,315.9
"8",37.59,126.979,3.35,323.18
"9",37.564,126.827,3.64,283.91
"10",37.564,126.839,3.64,283.13
"11",37.573,126.827,3.62,289.51
"12",37.573,126.839,3.68,287.54
"13",37.582,126.827,3.62,288.43
"14",37.554,126.827,3.6,280.48
"15",37.554,126.839,3.57,280.21
"16",37.545,126.815,3.67,282.67
"17",37.545,126.827,3.56,281.24
"18",37.555,126.815,3.67,283.48
"19",37.545,126.804,3.77,286.61
"20",37.555,126.804,3.76,287.59
"21",37.564,126.804,3.73,287.92
"22",37.564,126.816,3.65,286.16
"23",37.573,126.804,3.71,291.35
"24",37.573,126.816,3.63,291.26
"25",37.582,126.804,3.68,291.15
"26",37.582,126.816,3.57,289.51
"27",37.592,126.804,3.68,278.59
"28",37.591,126.816,3.62,278.88
"29",37.573,126.792,3.79,289.33
"30",37.601,126.804,3.76,278.39
"31",37.564,126.781,3.82,290.73
"32",37.564,126.792,3.8,289.52
"33",37.546,126.792,3.8,289.43
"34",37.555,126.769,3.81,292.77
"35",37.555,126.781,3.82,291.45
"36",37.555,126.792,3.81,290.09
"37",37.508,126.885,3.43,285.24
"38",37.48,126.884,3.38,279.73
"39",37.48,126.896,3.37,275.19
"40",37.49,126.873,3.4,278.83
"41",37.489,126.884,3.4,281.27
"42",37.489,126.896,3.36,276.3
"43",37.499,126.873,3.45,285.45
"44",37.499,126.884,3.42,283.38
"45",37.499,126.896,3.38,279.25
"46",37.508,126.873,3.46,287.77
"47",37.508,126.896,3.4,283.5
"48",37.499,126.85,3.41,290.65
"49",37.499,126.861,3.43,285.39
"50",37.508,126.85,3.41,287.02
"51",37.508,126.861,3.45,287.61
"52",37.49,126.838,3.43,297.91
"53",37.49,126.85,3.41,292.11
"54",37.49,126.861,3.38,280.06
"55",37.499,126.838,3.43,298.45
"56",37.49,126.826,3.38,297.24
"57",37.499,126.826,3.45,299.1
"58",37.508,126.826,3.58,293.76
"59",37.481,126.838,3.48,294.25
"60",37.481,126.826,3.42,292.08
"61",37.471,126.884,3.35,277.72
"62",37.471,126.896,3.37,275.06
"63",37.462,126.896,3.37,277.31
"64",37.462,126.907,3.32,245.91
"65",37.471,126.907,3.28,255.89
"66",37.48,126.908,3.28,261.71
"67",37.434,126.907,3.31,307.57
"68",37.443,126.907,3.34,307.76
"69",37.443,126.919,3.57,30.29
"70",37.452,126.895,3.37,281.7
"71",37.452,126.907,3.34,258.54
"72",37.452,126.919,3.62,156.37
"73",37.461,126.919,3.42,200.65
"74",37.517,126.908,3.39,286.92
"75",37.526,126.908,3.45,290.58
"76",37.517,126.92,3.37,285.95
"77",37.517,126.931,3.34,283.81
"78",37.517,126.943,3.33,279.8
"79",37.526,126.92,3.44,291.18
"80",37.526,126.931,3.45,290.72
"81",37.526,126.943,3.46,289.59
"82",37.535,126.908,3.53,295.42
"83",37.535,126.92,3.54,298.23
"84",37.535,126.932,3.54,299.27
"85",37.535,126.943,3.49,299.21
"86",37.526,126.896,3.46,290.73
"87",37.517,126.896,3.43,287.09
"88",37.526,126.885,3.47,290.76
"89",37.535,126.897,3.5,293.85
"90",37.46,127.047,3.26,246.51
"91",37.46,127.058,3.19,250.89
"92",37.469,127.047,3.02,259.56
"93",37.469,127.058,3.27,264.95
"94",37.432,127.058,4.67,262.91
"95",37.432,127.069,4.03,270.84
"96",37.442,127.046,4.36,241.17
"97",37.442,127.058,4.17,255.33
"98",37.442,127.07,3.8,267.63
"99",37.451,127.046,3.85,240.23
"100",37.451,127.058,3.56,247.31
"101",37.451,127.07,3.5,252.39
"102",37.46,127.07,3.25,249.8
"103",37.497,127.036,3.22,269.54
"104",37.497,127.047,3.16,270.57
"105",37.506,127.036,3.18,277.6
"106",37.506,127.047,3.14,275.75
"107",37.545,126.885,3.51,293.06
"108",37.545,126.897,3.58,296.25
"109",37.554,126.885,3.56,294.6
"110",37.554,126.897,3.59,299.44
"111",37.498,126.908,3.33,275.95
"112",37.498,126.919,3.29,272.8
"113",37.508,126.908,3.36,282.85
"114",37.508,126.92,3.32,281.39
"115",37.489,126.908,3.3,268.05
"116",37.536,126.885,3.48,292.36
"117",37.507,126.943,3.25,271.89
"118",37.498,126.931,3.23,268.41
"119",37.498,126.943,3.27,265.65
