Music_tags,number,overlap_num,overlap_word
kpop,349,17,"['kpoplive', 'kpopstar', 'kpoper', 'k-culturekoreanmusicmvmusicvideok-popkpop뮤비뮤직비디오', 'btsfakelovereactionnonkpop', 'kpopdancersreact', 'simplykpop', 'kpopbest', 'kpoptop', 'btskpop', 'nicknackkpopshop', 'kpopdance', '??멜론2018년1월5주차최신가요멜론차트연속듣기lkpoptop20l가사모음??', 'kpopmvreaction', 'kpopawards', 'kpopreaction', 'kpopcouple']"
[none],270,0,[]
mv,214,54,"['twicemv', '트와이스mv', 'heartshakermv', '하트셰이커mv', 'mvteaser', 'whatislovemv', '우리이야기mv', '도도한친구들mv', '도티mv', 'ladymv', 'yubinladymv', 'yubinmv', '유빈mv', 'livemv', 'wannaonemv', 'mvtheory', 'minseo)-좋아(yes)mv', 'k-culturekoreanmusicmvmusicvideok-popkpop뮤비뮤직비디오', 'hyunamv', 'groovyroomvlog', '켜줘mv', 'lightmv', 'btsfakelovereactionmv', '우주소녀mv', 'btsmv', 'bichph??ngmvm?inh?t', 'buayeumv', '온앤오프mv', '널만난순간mv', 'onfmv', 'completemv', 'mvbuayeubichph??ng', '?????????????????mv', 'ch?yngayđimv', 'lactroimv', 'runnowmv', 'bichph??ngmv', 'chayngaydimv', 'bonamv', 'lookmv', 'got7lookmv', 'got7mv', 'merry&happymv', '메리앤해피mv', 'h?p2u23vi?tnamvsu23qatar', 'btsfakelovemv', 'kpopmvreaction', 'reactiontoheartshakermv', 'twicemvreaction', 'twiceheartshakermvreaction', 'heartshakermvreaction', 'mvng??ihayquenemđi', 'm?tammv', ""nctubabydon'tstopmv""]"
bts,213,111,"['btsreaction', 'btsmusic', 'btsdna', 'btsloveyourselftear', 'btsnews', 'btsxamas', 'btsdnaamas2017', 'btslyrics', 'btsdnaamas', 'amas2017btslive', 'btsv', 'btsarmy', 'btsloveyourself', 'bts2018', 'btsmagicshoplyrics', 'btsmagicshop', 'btscolorcodedlyrics', 'btsfakelovereaction', 'btscolorcoded', 'btscomeback', 'btsloveyourselftearlyrics', 'bts轉', 'btsfakelove', 'btsbbmas', 'btsfakelovereactionnonkpop', '2thingsyouneedtoknowaboutbts', 'btsfakelovereactionmv', 'btsmv', 'btsmicdrop', 'btsinamerica', 'btsjungkook', 'btsmama2017', 'btsamas2017', 'bts2017', 'btsxrockineve', 'btsrewind2017', 'btsdance', ""btsdon'tleaveme"", 'btsburnthestage', 'btseuphoria', 'btslive', 'btstear', 'btsletgo', 'btsburn', 'btscrack', 'btsalbum', 'btsfaceyourself', 'vbts', 'btslinedistribution', 'btsbloodsweat&tearsdancepractice', 'btsjimin', 'btsfullalbum', 'btsbbma', 'btsteaser2', ""bts(방탄소년단)-'thetruthuntold'(feat.steveaoki)reaction"", 'btscry', ""bts(방탄소년단)-'thetruthuntold'(feat.steveaoki)"", 'btssteveaoki', ""btsloveyourself轉'tear'"", ""bts(방탄소년단)-134340(fromloveyourself轉'tear')"", ""bts(방탄소년단)loveyourself轉'tear'"", ""[fullalbum]bts(방탄소년단)?loveyourself轉'tear'"", 'btsddaengengsub', 'btsddaengeng', 'btsddaeng', 'btsddaengcolorcoded', 'btsfaceyourselffull', 'btsengsub', 'btsfunny', 'btskpop', 'btsexomoment', 'btsexo', 'btsatmbcgayo2017', 'btsmicdropremix', 'btssbsgayodaejun2017', ""bts-micdropperformance(dickclark’snewyear'srockin'evewithryanseacrest2018)"", 'btsdnalive', 'btsmma2017', 'btsnewyearperformance', 'btsmbcgayodaejejeon2017', ""[제27회서울가요대상]bts(방탄소년단)-intro+'dna'+'micdrop'live(2018seoulmusicawards)"", 'btscypherpt.4', 'btscypher', 'btscypherpt.3:killer', 'btsbillboard', 'btsdocumentary', 'btsellen', 'btsfakelovemv', 'btsfakeloveteaser', 'btsjamescordan', 'btsexclusive', 'fakelovebtslyrics', 'btscomebackstage', 'btscomebackshow', '180524bts', 'runbtsep31', 'runbts', 'jungkookcutebts', 'btsgogo', 'btsjungkook2017', 'btsmembers', 'btsjk', 'btsjungkookwassoshywheniubowedtohim@melonmusicawards2017', 'btsjungkookiu', 'btsontheellenshow', 'btsjimmykimmellive', 'btsmelonmusicawards2017', 'btsperformance', 'btsmelonmusicaward', ""bts(방탄소년단)-'micdrop'(liveatdickclark’snewyearsrockin’eve)"", 'btsddaengespanol']"
k-pop,192,3,"['k-culturekoreanmusicmvmusicvideok-popkpop뮤비뮤직비디오', 'nicknackk-popshop', 'k-popawards']"
방탄소년단,177,18,"['방탄소년단리액션', '방탄소년단빌보드1위곡', '방탄소년단빌보드', '방탄소년단티저', '방탄소년단티저해석', '방탄소년단fakelove', '방탄소년단신곡', ""bts(방탄소년단)-'thetruthuntold'(feat.steveaoki)reaction"", ""bts(방탄소년단)-'thetruthuntold'(feat.steveaoki)"", ""bts(방탄소년단)-134340(fromloveyourself轉'tear')"", ""bts(방탄소년단)loveyourself轉'tear'"", '방탄소년단loveyourself:tear', ""[fullalbum]bts(방탄소년단)?loveyourself轉'tear'"", ""[제27회서울가요대상]bts(방탄소년단)-intro+'dna'+'micdrop'live(2018seoulmusicawards)"", '방탄소년단컴백쇼', '방탄소년단정국', '방탄소년단지민', ""bts(방탄소년단)-'micdrop'(liveatdickclark’snewyearsrockin’eve)""]"
뮤비,174,26,"['트와이스뮤비', 'twice뮤비', '하트셰이커뮤비', 'heartshaker뮤비', '뮤비해석', '빅스뮤비', '방탄뮤비해석', '뮤비티저', '숙녀뮤비', '유빈뮤비', '워너원뮤비', 'k-culturekoreanmusicmvmusicvideok-popkpop뮤비뮤직비디오', '현아뮤비', '아형뮤비대전', 'light뮤비', '라이트뮤비', '우주소녀뮤비', 'whatislove뮤비', '널만난순간뮤비', '온앤오프뮤비', 'complete뮤비', '갓세븐뮤비', '룩뮤비', '메리앤해피뮤비', 'merry&happy뮤비', '정세운뮤비']"
musicvideo,133,15,"['twicemusicvideo', 'heartshakermusicvideo', '트와이스musicvideo', 'whatislovemusicvideo', '하트셰이커musicvideo', 'k-culturekoreanmusicmvmusicvideok-popkpop뮤비뮤직비디오', 'officialmusicvideo', 'lsdmusicvideo', 'musicvideobichphuong', 'punjabimusicvideosaatish', 'buayeumusicvideo', 'lookmusicvideo', 'got7musicvideo', 'merry&happymusicvideo', 'friendsmusicvideo']"
아이돌,133,3,"['아이돌라이브', '아이돌군무', '아이돌안무']"
song,129,181,"['songs', 'songyoutuber', 'coversong', 'brunomarssongs', 'brunomarschristmassong', 'brunomarstopsongs', 'charlieputhsongs', 'bestkoreasongsplaylist2018', 'punjabisongs', 'newhindisongs', 'latestpunjabisongs2017', 'newsong', 'newsongs', 'newpunjabisongs2017', 'indiansongs', 'latesthindisongs', 'popsong', 'honeysinghnewsong', 'lsdnewsong', 'wintersongs', 'punjabisadsongs', 'punjabiromanticsongs', 'hindisongs', 'christmassongsplaylist', 'song(airline)', 'christmassongs', 'topchristmassongs', 'song(compositiontype)', 'latestsongs', 'honeysinghsongs2017', 'bollywoodsongs', 'latestpunjabisongs', 'newpunjabisongs', 'songs2017', 'punjabisong', 'bestsongskorean', 'honeysinghsongs2018', 'honeysinglatestsongs', 'yoyohoneysinghnewsongs2017', 'dilchorisong', 'honeysinghsongs', 'gururandhawalatestsongs', 'eminemallsongs', 'eminemsongs', 'lovesongs', 'bollywoodmoviesongs', 'romanticsongs', 'brandnewpunjabisongs', 'bestsadsongs', 'punjabilovesongs', 'sadsong', 'newpunjabisadsong', 'bestsongoftheweek', 'newsongs2017aatish', 'lovesong2017', 'padmavatisongs', 'padmavatisong', 'padmavatimoviesong', 'ekdilekjaanvideosong', 'lovesong', 'bestpunjabisongs2017', 'punjabisongs2017', 'punjabilatestsongs', 'romanticsongspunjabi', 'punjabisongs2017aatish', 'jannatpunjabisong2017', 'newpunjabisongs2017jannat', 'latestpunjabisongs2017aatish', 'latestpunjabisong2017jannat', 'latestsong2017aatish', 'aatishnewpunjabisong2017', 'aatishsongs', 'mankirtnewsong', 'carolsong', 'hindisongs2018', 'charlileputhkehlanisong', 'calvinharrisnewsong', 'newhindisong2017haareyameindilhaareya', 'panjabisongs', 'latestpanjabisongs', 'latesthindisong2017haareyameindilhaareya', 'haareyameindilhaareyalatesthindisongs2017', 'haareyameindilhaareyanewhindisongs2017', 'haareyameindilhaareyanewhindisong2017', 'latestharyanvidjsong', 'punjabidjsongs', 'newsongs2018deepsidhu', 'deepsidhulatestsongs2018', 'deepsidhupunjabisongs2018', 'punjabihitsongsdeepsidhu', 'punjabipartysongsdeepsidhu', 'deepsidhulatestpunjabisongs2018', 'latestsongs2018', 'punjabisongsnew2018thisweek', 'newpunjabisong2018', 'punjabisongs2018', 'latestpunjabisong2018', 'latestpunjabisongs2018', 'punjabisongs2018latest', 'newpunjabisongs2018', 'punjabisongslatest', 'punjabisongs2018deepsidhu', 'latestpunjabisongsdeepsidhu', 'newpunjabisongsdeepsidhu', 'punjabibestsongsdeepsidhu', 'deepsidhunewpunjabisongs2018', 'punjabisongs2018new', 'newsongs2018', 'punjabisongsnew2018', 'punjabisongs2018latestthisweek', 'punjabisongsnew', 'rotiyanlatestpunjabisongs2017', 'newpunjabisongs2017amanmehra', 'rotiyanpunjabisong', 'newjatnisong', 'rotiyanlatestpunjabisong2017', 'albumsongs', 'zeemusichitsongs', 'superhitsongs', 'diljungleesongs', 'gururandhawasong', 'latestjaatsong', 'sajnavenewsong', 'breakupsongs', 'sajnavesong', 'partysongs', 'newmoviesongs', 'payaldevsongs', 'dancesongs', 'gururandhawaallsongs', 'amanmehranewpunjabisongs2017', 'latestpunjabisong2017rotiyan', 'rotiyannewpunjabisongs2017', 'rotiyannewpunjabisong2017', 'newpunjabisongs2017rotiyan', 'newpunjabisong2017rotiyan', 'newromanticsongs', 'latestpunjabisongs2017rotiyan', 'rotiyanhitpunjabisongs2017', 'rotiyansong', 'latestpunjabisong2017', 'gippynewsong', 'monstaxnewsong', 'newsong2017', 'tseriessongs', 'hardysandhusongs', 'gururandhawasongs', 'lahorevideosong', 'lahoregururandhawasong', 'gururandhawalahorefullsong', 'lahoresongguru2017', 'gururandhawanewsong', 'lahoresong', 'newsongaliali', 'alialimikasinghsong', 'latesthindisong', 'mikasinghnewsong', 'newhindisong2017', 'latesthindisong2017', 'latestsongs2017', 'maishaddafullsong', 'hindisong', 'newbollywoodsongs', 'newsongs2017', 'fullsongaliali', 'fullhdsongs', 'mikasinghlatestsong', 'alialilatestsong', 'bollywoodsongs2017', 'hindisongs2017', 'amaalmalliksongs', 'sonuketitukisweetymoviesongs', 'sonuketitukisweetysongs', 'songs2018', 'arijitsinghsongs', 'sonuketitukisweetyallsongs', '2018songs', 'subahsubahsong', 'amaalmalliknewsongs', 'arijitsinghnewsongs', 'friendzonesong']"
