Animal_tags,number,overlap_num,overlap_word
고양이,426,38,"['새끼고양이', '길고양이', '아기고양이', '먼치킨고양이', '고양이집사', '동물농장고양이', '아리고양이', '귀여운고양이', '아리는고양이', '반려고양이', '고양이먹방', '고양이애교', '고양이인형', '흰색고양이', '애니멀봐고양이', '고양이망고', '경찰서고양이', '웃긴고양이', '고양이와개', '고양이채널', '길고양이먹방', '편식고양이', '고양이밥그릇', '고양이산책', '고양이책', '삼색고양이', '고양이영상', '고양이집', '고양이목욕', '말하는고양이', '고양이네마리', '김메주와고양이들', '고양이뱃살', '고양이배', '고양이간식', '고양이구조', '고양이발바닥', '고양이달력']"
cat,269,12,"['cats', 'munchkincat', 'catvideo', 'cutecat', 'amazingcatvideos', 'amazingcat', 'cattv', 'streetcat', 'cutecats', 'funnycat', 'cathouse', 'cuteness(websitecategory)']"
동물,209,45,"['반려동물', '동물영상', '애완동물', '동물농장', 'tv동물농장', '애니멀봐동물농장', '동물농장애니멀봐', '재미있는동물영상', '동물훈련', '동물농장강아지', '귀여운동물', '웃긴동물', '동물들의싸움', '동물농장고양이', '동물보호', '동물인형', '동물병원', '동물농장레전드', '동물농장진돗개', '동물농장백구', '웃긴영상동물', '귀여운애완동물', '동물농장원앙', '웃기는동물', '동물애호가', '동물농장판다', '동물농장판다곰', '애완동물추천', '동물구조', '동물농장친칠라', '불테리어동물농장', '동물농장호미', '동물농장천재견', '동물농장천재견제시', '애완동물동반여행', '동물농장흑염소', '동물농장염소', '동물먹방', '반려동물팬션', '반려동물여행', '동물농장사슴', '동물농장유기견', '케인코르소동물농장', '동물농장예고', '동물유튜브']"
dog,179,45,"['dogs', 'doggy', 'shibadog', 'dogvideo', 'dogyoutube', 'cutedogs', 'funnydog', 'armydogs', 'armydogsafterretirement', 'militarydogs', 'militarydog', 'militarydogadoption', 'armydogsvideos', 'dogsclips', 'armydogsadoption', 'armydog', 'sleepingdog', 'militarydogvideos', 'militarydogandowner', 'doghometour', 'housetourofdogowner', 'livingwithadog', 'dogtoys', 'jessethedogfamilyguy', 'bullterrierdog', 'doghuman', 'geniusdog', 'jessegooddog', 'geniusdogmovie', 'mixeddog', 'abandoneddog', 'japandogs', 'koreandogs', 'dogjesse', 'drivewithdog', 'samoyed(dogbreed)', 'dogdriving', 'dogdog팬션', 'dogsfail', 'canecorsosdog', 'fundogclip', 'dogclip', 'doghug', 'dogpark', 'dogfails']"
강아지,170,84,"['귀여운강아지', '강아지여행', '강아지훈련', '강아지교육', '아기강아지', '새끼강아지', '동물농장강아지', '강아지힐링', '웃긴강아지', '강아지영상', '강아지수영', '강아지유튜브', '작은강아지', '강아지애교', '강아지랑같이자는영상', '강아지잠', '강아지목도리', '강아지반응', '강아지키우기', '애니멀봐강아지', '강아지동반', '강아지분양', '강아지먹방', '강아지목욕', '강아지용품', '강아지집', '강아지랑같이자기', '강아지입양준비', '강아지cctv', '강아지로인한변화', '강아지감시카메라', '강아지계단', '강아지홈투어', '강아지친화인테리어', '천재견강아지', '강아지밥', '강아지리뷰', '강아지동반여행', '강아지임신', '강아지메이팅', '강아지교배', '말하는강아지', '강아지세차', '강아지드라이브', '잠자는강아지', '강아지사료', '강아지동영상', '대화하는강아지', '강아지와가족', '질투하는강아지', '강아지방석', '강아지질투', '거제도강아지', '강아지팬션', '강아지일상', '강아지항문낭', '강아지예방접종', '강아지세미나', '2개월강아지', '강아지안녕하세요', '강아지인사', '강아지개인기', '재밌는강아지영상', '강아지털', '강아지어린', '강아지준비물', '귀여운새끼강아지', '어린강아지', '강아지새끼', '강아지어려움', '강아지산책', '강아지말리기', '강아지안기', '강아지용술', '강아지회', '강아지먹는소리', '강아지불초밥', '강아지술', '강아지연어', '강아지사케', '강아지수영장', '강아지장난감', '강아지털날림', '강아지키울때']"
kitten,156,0,[]
puppy,152,10,"['puppyvideos', 'puppylove', 'puppyyoutube', 'cutepuppy', 'adorablepuppy', 'puppyfail', 'puppyhug', 'puppyclips', 'puppyclip', 'puppyfails']"
집사,148,3,"['아리집사', '고양이집사', '개집사']"
아리,132,4,"['아리집사', '아리주인', '아리고양이', '아리는고양이']"
먼치킨,132,2,"['먼치킨고양이', '먼치킨나폴레옹']"
