Travel_tags,number,overlap_num,overlap_word
[none],19,0,[]
손흥민,13,1,['손흥민골']
직캠,13,2,"['축구직캠', '프리미어리그직캠']"
토트넘,13,0,[]
epl,13,0,[]
하이라이트,7,2,"['레바하이라이트', '축구하이라이트']"
레자바지,7,0,[]
트위치,7,0,[]
레바하이라이트,7,0,[]
레바,7,3,"['레바하이라이트', '레바반응', '레바툰']"
레바반응,7,0,[]
이승권,7,0,[]
스트리머,7,0,[]
레바툰,7,0,[]
이레승바권,7,0,[]
video,6,0,[]
yourself,6,0,[]
방탄소년단,6,0,[]
화유기,6,1,['화유기10회']
화유기10회,6,0,[]
프리미어리그,6,11,"['프리미어리그응원가', '프리미어리그관중', '프리미어리그싸움', '프리미어리그라이브', '프리미어리그직캠', '프리미어리그경기', '프리미어리그맨유', '프리미어리그직관', '프리미어리그명경기', '프리미어리그생중계', '프리미어리그응원']"
아미,6,0,[]
billboard,6,0,[]
no1,6,0,[]
방탄,6,1,['방탄소년단']
한반도전쟁,6,1,['한반도전쟁시나리오']
인터뷰,6,0,[]
tears,6,0,[]
정국,6,0,[]
순위,6,1,['해외여행순위']
bts,6,0,[]
album,6,0,[]
뷔,6,0,[]
리액션,6,0,[]
1위,6,0,[]
진,6,2,"['포항지진', '지진']"
러브,6,0,[]
페이크,6,0,[]
지민,6,0,[]
뮤비,6,0,[]
제이홉,6,0,[]
reaction,6,0,[]
bbma,6,0,[]
앨범,6,0,[]
외국인,6,0,[]
rm,6,2,"['army', 'droneperformance']"
뮤직비디오,6,0,[]
love,6,0,[]
인기,6,0,[]
army,6,0,[]
반응,6,1,['레바반응']
유명,6,0,[]
빌보드,6,0,[]
fake,6,0,[]
해외,6,26,"['해외여행', '해외생활', '해외한달살기', '해외여행추천', '해외여행범죄', '해외여행vlog', '해외여행납치', '해외여행주의사항', '해외여행지', '해외여행리뷰', '해외여행처음', '해외여행사고', '해외여행조심', '해외여행영상', '해외여행안전', '해외여행순위', '해외여행미국', '해외여행방송', '해외여행꿀팁', '해외여행브이로그', '해외여행성범죄', '해외여행동영상', '해외여행실종', '해외에서살기', '해외에서', '해외에서난리난']"
차트,6,0,[]
랭킹,5,0,[]
에버턴,5,0,[]
연말파티,5,0,[]
레꼬단,5,0,[]
시즌11호골,5,0,[]
포항지진,4,0,[]
세계를탐험해라,4,0,[]
박민설,4,0,[]
아나운서,4,0,[]
준비할것과여행팁,4,0,[]
축구,4,17,"['축구직캠', '축구명경기', '축구팬싸움', '축구응원', '축구하이라이트', '축구동영상', '축구비매너', '축구팬', '축구난투극', '축구감동', '축구뉴스', '축구레전드', '축구게임', '축구싸움', '축구라이브', '축구직관', '축구선수']"
discoveryworld,4,0,[]
여행팁,4,3,"['준비할것과여행팁', '가지최고의여행팁', '믿을수있는여행팁']"
가지최고의여행팁,4,0,[]
조민기,4,0,[]
국내여행,4,0,[]
2018,4,6,"['pes2018', '2018winterolympicsceremony', '2018winterolympicsopeningceremony', 'pyeongchangwinterolympicgames2018', '2018평창동계올림픽', '2018pyeongchang']"
cnt_fusmgzdxzstit3_kw0w,4,0,[]
보험설계,4,0,[]
knn,4,0,[]
믿을수있는여행팁,4,0,[]
해외여행,4,20,"['해외여행추천', '해외여행범죄', '해외여행vlog', '해외여행납치', '해외여행주의사항', '해외여행지', '해외여행리뷰', '해외여행처음', '해외여행사고', '해외여행조심', '해외여행영상', '해외여행안전', '해외여행순위', '해외여행미국', '해외여행방송', '해외여행꿀팁', '해외여행브이로그', '해외여행성범죄', '해외여행동영상', '해외여행실종']"
지진,4,1,['포항지진']
투어팁스,4,0,[]
bgam,3,0,[]
gamtube,3,0,[]
콘텐츠,3,0,[]
gamst,3,0,[]
football,3,0,[]
좌파,3,0,[]
비감,3,0,[]
여행,3,33,"['준비할것과여행팁', '여행팁', '가지최고의여행팁', '국내여행', '믿을수있는여행팁', '해외여행', '세계여행', '미국여행', '자유여행', '미국자유여행', '해외여행추천', '해외여행범죄', '해외여행vlog', '해외여행납치', '해외여행주의사항', '해외여행지', '해외여행리뷰', '해외여행처음', '해외여행사고', '해외여행조심', '해외여행영상', '해외여행안전', '해외여행순위', '해외여행미국', '해외여행방송', '해외여행꿀팁', '해외여행브이로그', '해외여행성범죄', '해외여행동영상', '해외여행실종', '여행꿀팁', '영국여행', '여행에미치다']"
평창올림픽,3,0,[]
인직,3,1,['김인직']
한반도전쟁시나리오,3,0,[]
트럼프의전쟁계획,3,0,[]
트럼프,3,1,['트럼프의전쟁계획']
아프리카티비,3,0,[]
좌빨,3,0,[]
final,3,0,[]
월드컵,3,0,[]
러시아,3,0,[]
선제타격,3,1,['북폭선제타격']
감스트,3,0,[]
broadcast,3,0,[]
bj,3,0,[]
draw,3,0,[]
afreecatv,3,0,[]
soccer,3,0,[]
김인직,3,0,[]
russia,3,0,[]
비제이,3,0,[]
injik,3,1,['kiminjik']
contents,3,0,[]
청와대,3,0,[]
문재인,3,0,[]
감튜브,3,0,[]
컨텐츠,3,0,[]
방송,3,1,['해외여행방송']
kiminjik,3,0,[]
아프리카tv,3,0,[]
한국,3,6,"['한국사람', '한국은처음이지', '어서와한국은처음이지', '한국은', '어서와한국은', '한국관광']"
rainbowlobster,2,0,[]
japanesefood,2,0,[]
japan,2,3,"['japanesefood', 'japanstreetfood', 'japanesestreetfood']"
japanstreetfood,2,0,[]
lobster,2,3,"['rainbowlobster', 'giantlobster', 'lobstersashimi']"
okinawa,2,0,[]
seafood,2,0,[]
giantlobster,2,0,[]
zachilles,2,0,[]
japanesestreetfood,2,0,[]
sashimi,2,1,['lobstersashimi']
손흥민골,2,0,[]
본머스,2,0,[]
한달살기,2,4,"['미국한달살기', '미국에서한달살기', '해외한달살기', '외국한달살기']"
초제츠,2,0,[]
beyblade,2,0,[]
winningvalkyrie,2,0,[]
베이블레이드,2,0,[]
블러디롱기누스,2,0,[]
스프리건,2,0,[]
초제트,2,0,[]
위닝발키리,2,0,[]
랜덤부스터10,2,0,[]
superz,2,0,[]
burst,2,0,[]
ウイニングヴァルキリ,2,0,[]
제트아킬레스,2,0,[]
레퀴엠,2,0,[]
초z,2,0,[]
모모형제,2,0,[]
lobstersashimi,2,0,[]
조추첨,2,0,[]
해외생활,2,0,[]
daily,2,0,[]
유학생,2,3,"['유학생활', '유학생활브이로그', '유학생활vlog']"
유학생활,2,2,"['유학생활브이로그', '유학생활vlog']"
캘리포니아,2,1,['캘리포니아유학']
미국생활,2,0,[]
미국한달살기,2,0,[]
이규빈,2,0,[]
김쿨나,2,0,[]
uc버클리,2,0,[]
정재호,2,0,[]
퇴사,2,0,[]
캘리포니아유학,2,0,[]
임현주,2,0,[]
ucberkeley,2,0,[]
외국생활브이로그,2,0,[]
vlog,2,3,"['유학생활vlog', '외국생활vlog', '해외여행vlog']"
ucla,2,0,[]
미국에서한달살기,2,0,[]
외국생활,2,2,"['외국생활브이로그', '외국생활vlog']"
뉴욕유학,2,0,[]
하트시그널2,2,0,[]
김도균,2,0,[]
유학생활브이로그,2,0,[]
미국이민,2,0,[]
세계여행,2,0,[]
la,2,3,"['beyblade', 'ucla', 'fliptoplatest']"
한국사람,2,0,[]
미국,2,9,"['미국생활', '미국한달살기', '미국에서한달살기', '미국이민', '미국여행', '미국유학', '미국날씨', '미국자유여행', '해외여행미국']"
korea,2,2,"['republicofkorea', 'korean']"
newyork,2,0,[]
미국여행,2,0,[]
일상,2,0,[]
globetrotter,2,0,[]
유학생활vlog,2,0,[]
브이로그,2,3,"['외국생활브이로그', '유학생활브이로그', '해외여행브이로그']"
하트시그널,2,1,['하트시그널2']
뉴욕,2,1,['뉴욕유학']
리뷰,2,1,['해외여행리뷰']
heartsignal,2,1,['heartsignal2']
해외한달살기,2,0,[]
외국한달살기,2,0,[]
미국유학,2,0,[]
자유여행,2,1,['미국자유여행']
coolnakim,2,0,[]
회사원,2,0,[]
핱시,2,0,[]
유학,2,8,"['유학생', '유학생활', '캘리포니아유학', '뉴욕유학', '유학생활브이로그', '유학생활vlog', '미국유학', '영국유학']"
california,2,0,[]
송다은,2,0,[]
heartsignal2,2,0,[]
미국날씨,2,0,[]
자유롭게자연스럽게,2,0,[]
이민,2,1,['미국이민']
김현우,2,0,[]
fit,2,0,[]
김장미,2,0,[]
우클라,2,0,[]
세계일주,2,0,[]
외국생활vlog,2,0,[]
오영주,2,0,[]
미국자유여행,2,0,[]
외국,2,5,"['외국인', '외국생활브이로그', '외국생활', '외국한달살기', '외국생활vlog']"
허더스필드,2,0,[]
해외여행추천,2,0,[]
한일전,2,0,[]
입중계,2,0,[]
축먹남,2,0,[]
시즌10호골,2,0,[]
웨스트햄,2,0,[]
웸블리,2,0,[]
사우스햄턴,2,0,[]
9호골,2,0,[]
해외여행범죄,2,0,[]
해외여행vlog,2,0,[]
해외여행납치,2,0,[]
해외여행주의사항,2,0,[]
해외여행지,2,0,[]
싸이,2,0,[]
해외여행리뷰,2,0,[]
해외여행처음,2,0,[]
해외여행사고,2,0,[]
해외여행조심,2,0,[]
해외여행영상,2,0,[]
해외여행안전,2,0,[]
해외여행순위,2,0,[]
절대로,2,0,[]
해외여행미국,2,0,[]
해외여행방송,2,0,[]
해외여행꿀팁,2,0,[]
해외여행브이로그,2,0,[]
해외여행성범죄,2,0,[]
해외여행동영상,2,0,[]
worldcup,2,0,[]
해외여행실종,2,0,[]
중계,2,2,"['입중계', '프리미어리그생중계']"
폐막,2,0,[]
pyoengchang,2,0,[]
psy,2,1,['tipsyd']
프로불참러,2,0,[]
olympic,2,3,"['2018winterolympicsceremony', '2018winterolympicsopeningceremony', 'pyeongchangwinterolympicgames2018']"
ghana,1,0,[]
fliptop2017,1,0,[]
fliptoplatest,1,0,[]
sam,1,4,"['2samtv', 'twosamtv', 'samokyere', '2sam']"
2samtv,1,0,[]
aspakan,1,1,['aspakan5']
rapbattle,1,4,"['bataanrapbattle', 'cabanatuanrapbattle', 'pampangarapbattle', 'filipinorapbattle']"
pampangarap,1,1,['pampangarapbattle']
한국은처음이지,1,1,['어서와한국은처음이지']
aspakan5,1,0,[]
twosamtv,1,0,[]
가나원빈,1,0,[]
bataanrap,1,1,['bataanrapbattle']
fliptop,1,3,"['fliptop2017', 'fliptoplatest', 'fliptopnew']"
j-king,1,0,[]
bataanrapbattle,1,0,[]
bataanhiphop,1,0,[]
dospordos,1,0,[]
cabanatuanrapbattle,1,0,[]
pinoy,1,0,[]
pampangahiphop,1,0,[]
philippines,1,0,[]
미운우리새끼,1,0,[]
어서와한국은처음이지,1,0,[]
오취리,1,1,['샘오취리']
samokyere,1,0,[]
가나,1,2,"['가나원빈', '가나편']"
우리새끼,1,1,['미운우리새끼']
어서와,1,2,"['어서와한국은처음이지', '어서와한국은']"
미운우리,1,1,['미운우리새끼']
2sam,1,1,['2samtv']
music,1,0,[]
한국은,1,3,"['한국은처음이지', '어서와한국은처음이지', '어서와한국은']"
어서와한국은,1,1,['어서와한국은처음이지']
강남,1,0,[]
처음이지,1,2,"['한국은처음이지', '어서와한국은처음이지']"
미우새,1,0,[]
cabanatuanhiphop,1,0,[]
샘오취리,1,0,[]
vs,1,0,[]
sinio,1,0,[]
underground,1,0,[]
강호동,1,0,[]
1박2일,1,0,[]
삼겹살,1,0,[]
ㄱㅏㅁㅈㅏㅇㅘㅇㅇㅠㅌㅠㅂㅡ,1,0,[]
evolution,1,0,[]
game,1,1,['pyeongchangwinterolympicgames2018']
pes2018,1,0,[]
일본사람,1,0,[]
일본관광객,1,0,[]
한국관광,1,0,[]
광화문,1,1,['광화문광장']
republicofkorea,1,0,[]
coree,1,0,[]
올림픽,1,3,"['평창올림픽', '동계올림픽', '2018평창동계올림픽']"
게임,1,1,['축구게임']
pre,1,0,[]
아름다운,1,0,[]
미리,1,1,['미리보는']
okyere,1,1,['samokyere']
가나편,1,0,[]
김치,1,0,[]
먹방,1,0,[]
cabanatuanrap,1,1,['cabanatuanrapbattle']
우승,1,0,[]
anygma,1,0,[]
romano,1,0,[]
jking,1,0,[]
filipinorap,1,1,['filipinorapbattle']
pampangarapbattle,1,0,[]
tipsyd,1,0,[]
filipinohiphop,1,0,[]
fliptopnew,1,0,[]
꿈,1,0,[]
위닝,1,2,"['위닝발키리', '위닝이레븐']"
구운몽,1,0,[]
8강,1,0,[]
16강,1,0,[]
filipinorapbattle,1,0,[]
보는,1,1,['미리보는']
worldculp,1,0,[]
미리보는,1,0,[]
위닝이레븐,1,0,[]
결승,1,0,[]
4강,1,0,[]
korean,1,0,[]
ai,1,3,"['rainbowlobster', 'daily', 'jejuair']"
정규재칼럼,1,0,[]
리버풀비하,1,0,[]
축구직캠,1,0,[]
축구명경기,1,0,[]
영국발음,1,0,[]
프리미어리그응원가,1,0,[]
축구팬싸움,1,0,[]
맨체스터,1,0,[]
축구응원,1,0,[]
프리미어리그관중,1,0,[]
맨유경기,1,0,[]
프리미어리그싸움,1,0,[]
축구하이라이트,1,0,[]
축구동영상,1,0,[]
축구비매너,1,0,[]
영국유학,1,0,[]
프리미어리그라이브,1,0,[]
축구팬,1,1,['축구팬싸움']
맨유레전드,1,0,[]
해외에서살기,1,0,[]
공항,1,2,"['김포공항', '인천공항']"
수하물,1,0,[]
축구난투극,1,0,[]
반전주의,1,0,[]
인면조,1,0,[]
논란,1,0,[]
네티즌,1,0,[]
man-facedbird,1,0,[]
일본,1,2,"['일본사람', '일본관광객']"
2018winterolympicsceremony,1,0,[]
반전영상,1,0,[]
여행꿀팁,1,1,['해외여행꿀팁']
짐줄이기,1,0,[]
짐,1,1,['짐줄이기']
다이어트,1,1,['다이어트머신']
제주항공,1,0,[]
김포공항,1,0,[]
동계올림픽,1,1,['2018평창동계올림픽']
만우절,1,0,[]
다이어트머신,1,0,[]
인천공항,1,0,[]
jejuair,1,0,[]
재밌는영상,1,0,[]
리버풀맨유,1,0,[]
해외에서,1,2,"['해외에서살기', '해외에서난리난']"
a.i.,1,0,[]
리버풀경기,1,0,[]
프리미어리그직캠,1,0,[]
맨유,1,6,"['맨유경기', '맨유레전드', '리버풀맨유', '프리미어리그맨유', '맨유응원가', '맨유리버풀']"
정규재대표,1,0,[]
재벌과스포츠,1,0,[]
2018winterolympicsopeningceremony,1,0,[]
droneperformance,1,0,[]
오륜기,1,0,[]
드론,1,0,[]
pyeongchangwinterolympicgames2018,1,0,[]
동대문,1,0,[]
seoul,1,0,[]
대한민국,1,0,[]
ddp,1,0,[]
2018평창동계올림픽,1,0,[]
북폭선제타격,1,0,[]
북폭시나리오,1,0,[]
광화문광장,1,0,[]
아웃백스테이크하우스,1,0,[]
2018pyeongchang,1,0,[]
프리미어리그경기,1,0,[]
프리미어리그맨유,1,0,[]
축구감동,1,0,[]
프리미어리그직관,1,0,[]
축구뉴스,1,0,[]
프리미어리그명경기,1,0,[]
맨유응원가,1,0,[]
영국여행,1,0,[]
축구레전드,1,0,[]
프리미어리그생중계,1,0,[]
영국영어,1,0,[]
리버풀노래,1,0,[]
해외에서난리난,1,0,[]
축구게임,1,0,[]
프리미어리그응원,1,1,['프리미어리그응원가']
영국,1,5,"['영국발음', '영국유학', '영국여행', '영국영어', '영국남자']"
축구싸움,1,0,[]
축구라이브,1,0,[]
축구직관,1,0,[]
영국남자,1,0,[]
축구선수,1,0,[]
맨유리버풀,1,0,[]
리버풀,1,5,"['리버풀비하', '리버풀맨유', '리버풀경기', '리버풀노래', '맨유리버풀']"
여행에미치다,1,0,[]
