People_tags,number,overlap_num,overlap_word
[none],2712,0,[]
먹방,599,199,"['도로시먹방', '밴쯔먹방', '먹방bj', '먹방engsub', '아프리카먹방', '유튜브먹방', '고작먹방', '떡볶이먹방', '먹방떵개', '먹방;', '밴쯔고작먹방', '에드머먹방', '빵먹방', '고기먹방', '한식먹방', '야외먹방', '짜장면먹방', '치킨먹방', '라면먹방', '도전먹방', '먹방일기', '편의점먹방', '삼겹살먹방', '연어먹방', '먹방밴쯔', '김밥먹방', '짜파게티먹방', '김나름먹방', '중식먹방', '백반먹방', '무한리필먹방', '매운먹방', '아이스크림먹방', '효비먹방', '자매먹방', '분식먹방', '새우먹방', '먹방브이로그', '피자먹방', '1개먹방', '먹방레전드', '엽떡먹방', '이영자먹방', '매운음식먹방', '떡볶이먹방떵개', '푸딩먹방', '엽기떡볶이먹방', '응급실떡볶이먹방', '꼬치먹방', '고작먹방패러디', '허언증먹방', '야식먹방', '탕후루먹방', '카레먹방', '닭갈비먹방', '동남아먹방', '밴쯔스팸먹방', '밴쯔라면먹방', '한우먹방', '목살먹방', '엉터리생고기먹방', '돼지고기먹방', '엉생먹방', '나름먹방', '여자먹방', '두끼떡볶이먹방', '식당먹방', '즉석떡볶이먹방', '두끼먹방', '뷔페먹방', '송주불냉면먹방', '냉면먹방', '토스트먹방', '다리먹방', '기념먹방', '대만먹방', '순대국밥먹방', '국밥먹방', '시장음식먹방', '면먹방', '탕수육먹방', '깐풍기먹방', '조용한먹방', '짬뽕먹방', '볶음밥먹방', '사천탕수육먹방', '양장피먹방', '술먹방', '4월먹방일기', '튀김먹방', '병맛먹방', '밴쯔아이스크림먹방', '신메뉴먹방', '#먹방', '신기록먹방', '밴쯔햄버거먹방', '영국남자먹방', '욕망의먹방', '보겸먹방', '신동훈먹방', '떵개떵먹방', '왕쥬먹방', '밴쯔치킨먹방', '고작1개먹방', '김이브먹방', '마마무먹방', '화사먹방', '만두전골먹방', '초밥먹방', '마카롱먹방', '일본먹방', '밴쯔편의점먹방', '오지구이먹방', '써프라이드먹방', '보쌈먹방', '삼양라면먹방', '짜장먹방', '중국집먹방', '강다니엘먹방', '오므라이스먹방', '간식먹방', '꽃새우먹방', '독도새우먹방', '시니먹방', '돼지바먹방', '월간먹방일기', '먹방리뷰', '모찌먹방', '에그베네딕트먹방', '편의점떡먹방', '먹방유튜버', '수줍은먹방', '혜지의수줍은먹방', '레전드먹방', '양혜지먹방', '새해먹방', '분식집먹방', '성신여대먹방', '라볶이먹방', '주먹밥먹방', '성신먹방', '팔뚝김밥먹방', '야외먹방일기', '왕김밥먹방', 'bbq먹방', '황금올리브먹방', '먹방vlog', '먹방새우', '고수먹방', '먹방크리에이터', '마지막먹방', '햄버거먹방슈기', '맥도날드먹방', '빅불버거먹방', '햄버거먹방100개', '버거킹먹방', '맘스터치먹방', '한우불고기버거먹방', '햄버거먹방', '롯데리아먹방', '먹방쇼', '돈까스도전먹방', '돈까스먹방', '홍대먹방', '고기집먹방', '옥류관먹방', '도시락먹방', '편의점먹방밴쯔', '족발먹방', '족보먹방', '찌개먹방', '덮밥먹방', '침묵먹방', '먹방챌린지', '먹방asmr', '먹방리얼사운드', 'bbq황금올리브치킨반반치킨먹방', '브베치킨먹방', '한국치킨외국인먹방', '해물볶음밥먹방', '마라롱샤먹방', '가재먹방', '고두림먹방', '돈가스먹방', '소리먹방', 'cj소속먹방', '입짧은햇님먹방', '햇님먹방', '#먹방레전드', '#여자먹방레전드', '#여자먹방', '비빔밥먹방', '비빔국수먹방', '밴쯔급식먹방', '급식먹방', '라죽먹방', '채소먹방', '중국당면먹방', '당면먹방']"
mukbang,386,9,"['韓?大食い女性mukbang', 'koreanmukbang', 'tteokbokkimukbang', 'jajangmyeonmukbang', 'benzzmukbang', 'mukbangvlog', 'spicymukbang', '韓國大食い女性mukbang', '#mukbang']"
밴쯔,365,50,"['밴쯔먹방', '밴쯔engsub', '밴쯔asmr', '밴쯔jpnsub', '밴쯔고작', '밴쯔고작먹방', '밴쯔고작시리즈', '먹방밴쯔', '밴쯔짜장면', '밴쯔고작패러디', '밴쯔떡볶이', '밴쯔푸딩먹장', '밴쯔영어', '밴쯔푸딩', '밴쯔조작시리즈', '밴쯔스팸먹방', '밴쯔라면먹방', '밴쯔스팸', '밴쯔볼케이노', '밴쯔치킨', '밴쯔순대', '밴쯔순대국밥', '밴쯔순대국', '밴쯔갑분짜', '짜장면밴쯔', '밴쯔짜장면푸파', '밴쯔간장연어', '밴쯔표', '밴쯔아이스크림먹방', '밴쯔햄버거먹방', '밴쯔로드', '밴쯔라면', '밴쯔치킨먹방', '밴쯔편의점먹방', '밴쯔편의점', '밴쯔cu편의점', '밴쯔로드중국', '밴쯔로드제주도', '편의점먹방밴쯔', '밴쯔고작1개', '밴쯔덤플링만두', '밴쯔덤플링', '밴쯔뷔페', '밴쯔무한리필', '밴쯔비빔국수', '밴쯔비빔면', '밴쯔급식먹방', '밴쯔치즈', '더로얄라이브밴쯔', '밴쯔우유라면']"
asmr,338,71,"['밴쯔asmr', '한국asmr', 'danaasmr', 'koreanasmr', 'koreaasmr', 'miniyuasmr', 'roleplayasmr마이크한국어asmr한국인asmrasmr여자', '점집asmr', '탕후루asmr', 'spaasmr', 'tteokbokkiasmr', '피부asmr', '레이저asmr', 'asmrdermatologist', '롤플레이asmr', '피부관리asmr', 'laserasmr', 'asmr피부과', 'asmrroleplay', 'asmrmask', 'asmr팩', 'asmr시술', '피부과asmr', 'banzzasmr', 'dermatologistasmr', '시술asmr', '스킨케어asmr', '수리공asmr', 'homerobotasmr', 'repairroleplayasmr', 'fixyouasmr', 'robotroleplayasmr', 'robotasmr', '홈로봇asmr', 'repairasmr', '로봇asmr', '팩asmr', 'modelingmaskasmr', 'asmr스킨', '한국어asmr', '??몽글몽글잠이오는마시멜로귀청소｜소리아라｜sleepymarshmallowearcleaning-asmr', '모찌asmr', 'asmrshrimp', 'shrimpasmr', 'asmrgiantshrimp', 'asmr칠리새우', '대왕새우asmr', 'asmrblacktigershrimp', 'asmr블랙타이거', 'asmr대왕새우', '새우asmr', 'asmrgiant', 'asmr새우구이', '블랙타이거asmr', '새우구이asmr', 'asmr새우', '칠리새우asmr', '햄버거asmr', '공부asmr', '카페공부asmr', 'asmr시험', 'asmr공부', 'asmr카페', '카페asmr', '시험asmr', '도서관asmr', '먹방asmr', '병맛asmr', '짜장면asmr', '강유미asmr', 'christmasasmr']"
떵개,253,6,"['떵개떵', '먹방떵개', '떡볶이먹방떵개', '떵개떵먹방', '떵개짜장', '떵개기네스']"
워너원,239,108,"['워너원고', '워너원강다니엘', '워너원멕시카나', '워너원광고', '워너원고2', '워너원하성운', '워너원예능', '발칙한동거워너원', '워너원팬콘', '더뮤지션워너원', '너목보워너원', '워너원뷔앱', '워너원고제로베이스', '워너원브이앱', '워너원에디션', '워너원이어폰', '해피투게더워너원', '#워너원', '복면가왕워너원', '워너원폭로', '워너원폭로전', '워너원앞담화', '워너원컴백쇼', '워너원팬콘프리미어', '워너원프리미어팬콘', '워너원팬싸', '워너비더뮤지션땡스파티.더뮤지션워너원영상', '배틀트립워너원', '워너원양치', '워너원현실모먼트', '워너원부메랑', '워너원김재환', '워너원학교', '워너원비몽사몽', '워너원아침', '워너원씻는', '워너원현실미', '워너원의아침', '워너원컴백', '워너원저장', '워너원멤버', '워너원전화번호', '워너원연락처', '워너원교복', '워너원영상', '워너원공식영상', '오케워너원', '워너원뮤비촬영', '오케워너원11', '워너원영상클립', '워너원고이대휘', '워너원트와일라잇', '워너원go', '워너원웃음참기', '워너원레전드', '워너원유닛', '워너원제주도', '워너원팬싸인회', '워너원직캠', '워너원팬덤', '워너원홈마', '워너원찍덕', '워너원대유잼', '워너원특집', '20180216워너원', '롯데리아워너원', '비투비워너원', '워너원뮤비', '워너원cg', '워너원피지컬', '워너원파트', '#워너원#워너원고#워너원고제로베이스#강다니엘#강다니엘교포#강다니엘영어', '워너원성운', '워너원떡밥', '워너원공식사이트', '워너원컴백떡밥', '워너원신곡제목', '워너원신곡', '워너원타투', '워너원헤나', '워너원닭갈비', '워너원부산팬콘프리뷰', '팬콘워너원', '워너원부산팬콘', '#강다니엘#워너원', '워너원몰이', '워너원해체', '일년뒤워너원', '워너원놀림', '연예가중계워너원', '워너원눈물', '워너원인터뷰', '워너원울지마', '워너원아는형님', '아는형님워너원', '#워너원신곡표절', '#워너원표절', '워너원커버', '#워너원부메랑표절', '워너원스타라이브대화', '워너원대화', '워너원정산', '워너원스타라이브', '워너원스타라이브정산', '워너원뷰티풀', '워너원리패키지', '워너원nothingwithoutyou', '워너원라디오']"
bts,235,196,"['btsv', 'btsnews', 'btsreaction', 'btsmicdrop', 'btsfakelove', 'runbts', 'btsjimin', 'btsfakelovereaction', 'btscomeback', 'rttvbtsreaction', 'fakelovebtsreaction', 'btsrm', '#bts', 'btseng', 'btswoojihwa', 'btscomebackreaction', 'btscomebackshow', 'btsama', 'btsdna', 'btsjungkook', 'btsamericanmusicawards', 'btsdnareaction', 'btsanpanman', 'anpanmanbtsreaction', 'btsanpanmancomebackshowreaction', 'btscomebackshowreaction', 'btsbillboardreaction', '2018btscomebackshow', '2018btscomebackshowreaction', 'reactionbtsrttv', 'btstearalbumreaction', 'btsanpanmanreaction', 'bts해외반응', 'btsreaction자막', '#bts#방탄소년단#박지민#김남준#정호석#김태형#전정국#김석진#민윤기#아메리칸뮤직어워드#뷔#슈가#rm', 'btsamas', 'btslaxairport', 'btslax', 'btsxamas', 'playlistbts', 'btslax2018', 'ivotebtsbbmas', '#방탄소년단#bts#amas#방탄미국#jimin', 'bts다큐', 'btsmygoldenlife', 'bts아미', 'btsfakelovefirstreaction', 'btsplaylist', 'fakelovereviewbts', 'rttvreactionbts', 'btsarmyreaction', 'btsrttvreaction', 'btsfakelovecomeback', 'rttvfakelovebtsreaction', 'reactionrttvbts', 'btssuga', 'btsjin', ""bts(방탄소년단)'fakelove'officialmv"", 'btsdope', 'bts자막', 'btsdopereaction', 'bts한글자막', 'bts리액션자막', 'bts리액션', 'medihealxbts', '메디힐링withbts', 'btsreactionrttv', 'bts일본반응', 'btsdna일본', 'bts멤버', 'bts영국', 'btsdnalive', 'btsdnaamasreaction', 'btsamasreaction', 'btsfanchants', ""bts(방탄소년단)loveyourself轉tear'singularity'comebacktrailer"", ""btsama's"", 'btsdnaama', 'bts(방탄소년단)', 'btsdnaamareaction', 'dancepracticereactionsbts', 'dancereactionbtsfakelove', 'btsfakelovedancereaction', 'btsfakelovedancepracticereaction', 'fakelovebtsdancereaction', 'btsfakelovedancepractice', 'btsdancepracticereaction', 'bts4thmuster', 'btsat4thmusterhappyeverafterconcert', 'bts@mma', 'btsmmamoments', 'btsmma', 'bts@mma2017', 'btsmelonmusicawardsmoments', 'btsmelonmusicawards', 'btsdna@mma', 'btsdna@melonmusicawards', 'btsmelonmusicawards2017', 'melonmusicawardsbts', 'btsfunny', 'btsmicdrop(steveaokiremix)mvreaction', 'btsloveyourselfher', 'btsmicdropremix', 'btsmicdropremixlive', 'btssteveaokidesiigner', 'bts의스토리텔링', 'btsfakelovereact', 'btscouplereacts', 'btsfakelovereactors', 'btsfakelovecouplereacts', 'gaycouplereactsbts', 'gayreactsbts', 'btsfanboysreact', 'jrekmlbtsfakelove', 'couplereactsfakelovebtsmv', 'btsreactionfakelove', 'couplesreactbtsfakelove', 'btsfanboysreaction', 'joseochoabts', 'codyandwyattbts', 'btsfakelovedance', 'btsmnetcomeback', 'btssangamfansign.', 'btsfansign', 'btsfestavjin', 'newbtssong', 'btsddaeng', 'btsrmsugajhopeddaeng', 'newbtsrapsong', 'btsrmsugajhopeddaengreaction', 'ddaengbtsreaction', 'btsddaengdisssong', 'btscutefunny', 'btsairplanepart.2', 'btsloveyourselftear', 'americansreacttobts', 'uscelebbts', 'luisfonsibts', 'btsbillboardmusicawardsreaction', 'fakelovebts', 'camillacabellobts', 'uscelebritiesreactingtobts', 'celebritiesreactingtobts', 'btsbillboardmusicawardcelebrityreaction', 'btsbbmaredcarpet', 'bbmacelebritybtsreaction', 'celebritiesbts', 'btsbbmareaction', 'btsspanishreaction', 'celebritiesreacttobts', 'btsawards', 'bts외국인반응', 'bts노래', 'bts서양여자들', 'bts외국', 'bts외국인', 'bts외국반응', 'bts처음본', 'bts서양', 'btswingstour', 'bts-gogo-고민보다go', 'gogobts', '[2017mbcmusicfestival]bts-gogo-고민보다go20171231', 'reactiongogobts', 'bts-gogo(mbcmusicfestival2017)reaction', 'bts綜藝', 'bts碩珍', 'bts지민', 'btscute', 'bts號錫', 'bts智旻', 'bts柾國', 'bts泰亨', 'bts玧其', 'bts認識的哥哥', 'bts南俊', 'btsfun', 'bts中字', 'bts認識的哥哥中字', 'btssaveme', 'btsxjimmykimmel', 'btsrunep47engsub', 'runbtsep47behindthescene', 'btsrunep47behindthescene', 'btsrunep47', 'btsrunep50behindthescene', 'btsrunep50engsub', 'btsrunengsub', 'btsrunep50behind', 'btsrunep49behindthescene', 'runbtsep49engsub', '#방탄소년단#bts#방탄미국#e뉴스#jimin', 'btsamas2017reaction', 'btsamasdnaliveperformance', 'americanmusicawardsbts', 'btsamasjinjiminvtaeyangkpopkoreajungkooksugarapmonsterrm']"
wannaone,191,27,"['wannaonego', 'wannaonehasungwoon', 'wannaonegoseason2', 'wannaonevapp', 'wannaonepremierfancon', 'wannaonefancon', 'wannaonesorrysorry', 'wannaonereaction', 'wannaonego2', 'wannaonefansign', 'wannaonenothingwithoutyou', 'wannaonepremierfanconday#1', '180216wannaone', 'wannaonemoment', 'wannaoneongseongwoo', 'btobwannaone', 'wannaonecomebackshow', 'wannaonecomeback', 'wannaonesungwoon', 'wannaonejaehwan', 'wannaoneinbusan', 'wannaonefanconinbusan', 'wannaonepremierfanconcertinbusan', 'wannaoneatbusanforfancon', 'wannaonefanconcert', 'wannaonefanconcertinbusan', 'wannaonebeautiful']"
감스트,169,0,[]
