Comedy_tags,number,overlap_num,overlap_word
아프리카tv,484,3,"['아프리카tv시상식', '아프리카tv여캠', '아프리카tv대상']"
먹방,419,27,"['요리먹방', '먹방레전드', '먹방치킨', '술먹방', '참치먹방', '악마의먹방', '스피드먹방', '대왕초밥먹방', '초밥먹방', '연어초밥먹방', '연어장먹방', '연어먹방', '매운짬뽕먹방', '돈스테이크먹방', '휴게소먹방', '분식먹방', '먹방비제이', '도전먹방', '몰래먹방', '고기먹방', '밀웜먹방', '은호먹방', '봉준먹방', '남순먹방', '불닭먹방', '혼자먹방', '혼밥먹방']"
철구,407,10,"['bj철구', '아프리카철구', '철구레전드', '철구지혜', '철구와이프', '철구마누라', '철구를웃겨라', '철구성대모사', '철구영상', '배그철구']"
남자,348,20,"['영국남자', '미친남자', '남자친구', '남자꼬시기', '머리나쁜남자', '남자학고꿀팁', '남자들이일찍죽는', '남자들이', '남자가일찍죽는', '남자들이란', '남자가', '남자친구잔소리', '잔소리많은남자친구', '남자친구만우절', '상남자', '남자친구장난', '최악의남자친구', '남자친구썰', '남자소중이', '남자공감']"
[none],307,0,[]
꿀잼,300,4,"['개꿀잼', 'no.1꿀잼tv[개그대학]', '꿀잼보장', '꿀잼tv']"
웃긴,264,13,"['웃긴영상', '웃긴방송', '웃긴인강', '웃긴광고', '웃긴노래', '웃긴동영상', '배그웃긴장면', '개웃긴', '핵웃긴', '진짜웃긴', '너무웃긴영상', '개웃긴영상', '웃긴얘기']"
요리,257,10,"['요리먹방', '중국요리', '중화요리', '요리법', '달팽이요리', '프랑스요리', '군대요리', '군요리', '못말리는요리', '야매요리']"
bj,242,17,"['bj철구', '인터넷방송bj유머방송', '군필bj', '유명bj', 'bj외질혜', '아프리카bj', '인터넷방송bj', 'bj장추자', 'bj유연', 'bj소아', 'bj신비', 'bj여정', '민폐bj', 'bj케이', '트젠bj', 'bj노래하는코트', 'bj지훈']"
턱형,231,4,"['대한건아턱형', '턱형와이프', '턱형아내', 'god.턱형']"
korean,230,11,"['koreanenglish', 'koreanfriedchicken', 'koreanbbq', 'koreanpancakes', 'koreanpear', 'koreanvarietyshow', 'koreanactor', 'koreanreaction', 'koreanvideo', 'koreanpeople', 'koreanyoutuber']"
인터넷방송,227,2,"['인터넷방송bj유머방송', '인터넷방송bj']"
외국인,227,1,['외국인반응']
food,221,1,['foodasmr']
영국남자,220,0,[]
josh,220,0,[]
ollie,220,0,[]
englishman,220,0,[]
조쉬,220,0,[]
영국,220,2,"['영국남자', '영국음식']"
올리,220,2,"['올리아빠', '올리브']"
bj철구,219,0,[]
음식,219,5,"['배달음식', '매운음식', '일본음식', '발효음식', '영국음식']"
afreecatv,219,0,[]
아프리카철구,219,0,[]
웃긴영상,216,2,"['너무웃긴영상', '개웃긴영상']"
도전,216,13,"['무한도전', '무모한도전', '도전먹방', '무한도전정준하', '무한도전멤버', '무한도전박명수', '무한도전양세형', '무한도전레전드', '무한도전지드래곤', '무한도전이동욱', '베스트무한도전', '무한도전베스트', '무한도전하하']"
