Entertain_tags,number,overlap_num,overlap_word
[none],305,0,[]
먹방,160,43,"['엠브로먹방', '먹방;', '아프리카먹방', '맛있는먹방', '세야먹방', '먹방bj', '먹방레전드', '연예인먹방', '창현먹방', '먹방창현', '밴쯔먹방', '꾹tv먹방', '꾹먹방', '큐드파이터먹방', '왕쥬먹방', '먹방왕쥬', '면먹방', '면먹방레전드', '통째로먹방', '통째먹방', '돈스파이크먹방', '치킨먹방', '윰댕먹방', '윰꽃먹방', '5분먹방', '꽃빈먹방', '30시간굶고먹방', '공대생먹방', '통삼겹먹방', '리얼사운드먹방', '24시간굶고먹방', '아라시먹방', '통연어먹방', '부부먹방', '뚱녀먹방', '일본라면먹방', '라멘먹방애니', '라멘먹방', '씬피자먹방', '아이스크림먹방', '베라먹방', '피자먹방', '베스킨라빈스먹방']"
리뷰,109,12,"['꾹tv리뷰', '꾹리뷰', '대신리뷰', '겜도리리뷰', '한국최고의영화리뷰채널', '미아리뷰', '치킨리뷰', '아이폰x리뷰', '전동킥보드리뷰', '아이폰리뷰', '폰리뷰', '남자리뷰']"
bts,96,65,"['btsarmy', 'btsband', 'btsremix', 'btsxellen', 'ellenbts', 'btsellenshow', 'btsxama', 'dnabts', 'btsxamas', 'btsama', 'btsnews', 'btsmama2017', 'btsidealtype', 'bts21+', 'btsengsub', 'btssmut', 'btsfanfic', 'btssexymoments', 'btscrushes', 'btsamas', 'btsartistoftheyear', 'btsjamescorden', '171225micdropbts', '171225btsjungkook', '171225bts', 'btsonellen', 'btsmicdroplyric', 'btsmicdropremixremix', 'btsmicdropdesiigner', 'btssteveaoki', 'btssteveaokiremix', 'btsmicdrop', 'btsmicdropdesigner', 'btssteveaokimicdropreaction', 'dadanddaughtersreactionstobtsmicdropftsteveaoki', 'dadanddaughtersreactionstobts', 'dadanddaughtersreactionstobtsmicdrop', ""dadanddaughtersreactionstobts(방탄소년단)'micdrop(steveaokiremix)'officialmv"", ""bts|micdrop|steveaokiremix'officialmv|blackguyreaction!!!"", 'btsmicdropjapanese', 'firstreactiontobts', 'btsmicdropremixsteveaoki', 'btsmicdropreaction', 'reactionvideoonbtsmicdrop', 'btsjungkook', 'btstour', 'btsfan', 'btsv', 'btsjungkookandiucutemoments', 'btsdnalivemma2017', 'btsjungkookreactingtoiumma', 'collegekidsreacttok-popbtsmonstaxseventeentwiceredvelvet', 'btsmma', 'btsbeyondthescene', 'btsj-hope', 'btsjimin', 'btsrm', 'btssuga', 'btsjin', 'kbssongfestialbts', 'btswoojihwa', 'btseng', '#bts', '채널bts', 'btsdna']"
mukbang,84,4,"['koreanmukbang', '꾹mukbang', '꾹tvmukbang', 'twicemukbang']"
레전드,81,22,"['꾹레전드', '꾹tv레전드', '리그오브레전드;', '서프라이즈레전드', '예능레전드', '먹방레전드', '일반인이부른노래레전드', '배틀그라운드레전드', '고든램지레전드', '트와이스모모레전드', '면먹방레전드', '예능레전드.', '레전드.', '야외취침레전드', '치킨레전드', '1박2일시즌1레전드', '이수근레전드', '무도레전드', '이승기레전드', '시청자레전드', '놀리기레전드', '김종민레전드']"
꿀잼,80,7,"['꾹tv꿀잼', '꾹꿀잼', '핵꿀잼', '겜도리꿀잼', '개꿀잼', '꿀잼동영상', '꿀잼영상']"
대도서관,79,4,"['대도서관tv', '김이브대도서관', '대도서관수다방', '대도서관고전']"
허팝,76,5,"['허팝이가다', '허팝스포츠', '허팝자동차', '허팝연구소', '허팝요리']"
korea,76,33,"['korean', 'koreanfood', '#koreanews24h', 'koreanfolkvillage', '#koreanews', 'koreanculture', 'koreanenglishman', 'koreanmukbang', '#newkorea', 'koreanolympic', 'pororokorean', '#korea', 'gordonramsaykorea', 'koreanpop', 'koreanfriedchicken', 'koreanchicken', 'koreandrama', 'koreanvideo', 'koreanyoutuber', 'koreanpeople', 'korea3every', 'boybandkorea', 'artiskorea', 'koreanmagician', 'koreanmagic', 'koreanvarietyshow', 'koreamusic', 'koreansat', 'koreantvc', 'koreantaffy', 'koreanyeot', 'koreancandy', 'twicekorea']"
