Show_tags,number,overlap_num,overlap_word
채널a,69,0,[]
하트시그널,24,3,"['하트시그널2', '하트시그널시즌2', '하트시그널1']"
하트시그널2,18,0,[]
김현우,14,0,[]
임현주,14,0,[]
김도균,14,0,[]
사랑,12,1,['사랑곳']
여자,12,0,[]
연애,12,0,[]
시그널,12,4,"['하트시그널', '하트시그널2', '하트시그널시즌2', '하트시그널1']"
멜로,12,0,[]
남자,12,0,[]
양재웅,11,0,[]
하트시그널시즌2,11,0,[]
원,11,12,"['서주원', '동물원', '요양원', '소원탑', '경남창원시', '병원놀이', '정원', '유치원생', '경기도수원시', '최시원', '강원원주시', '등원버스']"
소유,11,1,['내레이션소유진']
윤종신,11,0,[]
이상민,11,0,[]
김이나,11,0,[]
정재호,10,0,[]
송다은,10,0,[]
이규빈,10,0,[]
오영주,10,0,[]
아내의눈물,8,0,[]
식판,7,0,[]
사돈과의만남,7,0,[]
재활치료,7,0,[]
라면,6,0,[]
오토바이,6,0,[]
산책,6,1,['반려견산책']
반려견,6,3,"['반려견산책', '반려견행동', '반려견여행']"
강형욱,6,0,[]
커피,6,0,[]
조카,6,0,[]
휠체어,6,0,[]
편지,6,1,['영상편지']
장천,5,0,[]
질투,5,0,[]
하트시그널1,5,0,[]
서주원,5,0,[]
서지혜,5,0,[]
김세린,5,0,[]
배윤경,5,0,[]
부부싸움,5,0,[]
새벽,5,0,[]
외출,5,1,['외출준비']
잔소리,5,0,[]
짜증,5,0,[]
장사준비,5,0,[]
전화통화,5,0,[]
손자,5,1,['외손자']
식사준비,4,0,[]
신발가게,4,0,[]
멀미,4,0,[]
공동빨래터,4,0,[]
구명조끼,4,0,[]
도마뱀,4,0,[]
며느리눈물,4,0,[]
라지풋스파,4,0,[]
웃음,4,0,[]
친정부모묘소,4,0,[]
불평,4,0,[]
바닷가,4,0,[]
망고,4,0,[]
닭구이,4,0,[]
코코넛,4,0,[]
닥터피쉬,4,0,[]
닭,4,1,['닭구이']
물놀이,4,0,[]
세수,4,0,[]
아침식사,4,0,[]
선물증정,4,0,[]
생신,4,0,[]
스웨터,4,0,[]
혈압계,4,0,[]
이슈,4,0,[]
커튼,4,0,[]
사돈식구,4,0,[]
가방,4,0,[]
히잡,4,0,[]
김장미,4,0,[]
뉴스,4,0,[]
상식,4,0,[]
신문,4,0,[]
시사,4,0,[]
식탁,4,0,[]
정보,4,0,[]
동물원,4,0,[]
데이트,4,0,[]
육아대디,4,0,[]
러브하우스,4,0,[]
캘리포니아,4,0,[]
리키김,4,0,[]
인테리어,4,0,[]
방글라데시,4,0,[]
들기름,4,0,[]
경기도남양주,4,0,[]
인디언감자,4,0,[]
커텐,4,0,[]
난로,4,0,[]
구리시,4,0,[]
폐지수거,4,0,[]
화장품,4,1,['화장품판매업']
체중계,4,0,[]
자매,4,0,[]
햄,4,0,[]
집안구경,4,0,[]
주전자,4,0,[]
아피오스,4,0,[]
공항,4,0,[]
미역국,4,0,[]
빈병,4,0,[]
입양,4,0,[]
금은방,4,0,[]
짐봇다리,4,0,[]
막내동생,4,0,[]
동네친구,4,0,[]
다둥이아빠,4,0,[]
펫티켓,4,0,[]
사유리,4,0,[]
강아지교육,4,0,[]
목줄,4,0,[]
반려견산책,4,0,[]
강아지,4,3,"['강아지교육', '강아지성격', '강아지꼬리']"
설거지,4,0,[]
게스트하우스,4,0,[]
쪽파밭,3,0,[]
장갑,3,0,[]
인천동구,3,0,[]
봉합수술,3,0,[]
난소암,3,0,[]
수술실,3,0,[]
방광,3,0,[]
김밥,3,0,[]
고부,3,3,"['고부간의대화', '고부대화', '고부갈등']"
뇌경색,3,0,[]
생육,3,0,[]
복부이상소견,3,0,[]
내레이션소유진,3,0,[]
하희라,3,1,['내레이션하희라']
소머리국밥,3,0,[]
결혼앨범사진,3,0,[]
충격파치료,3,0,[]
베트남채소,3,0,[]
비닐하우스,3,0,[]
정형외과,3,0,[]
모종심기,3,0,[]
선물,3,3,"['선물증정', '금반지선물', '옷선물']"
일욕심,3,0,[]
짜빈,3,0,[]
비료,3,0,[]
친정아버지,3,0,[]
평발,3,0,[]
통증,3,7,"['허리통증', '돌발통증', '통증조절능력', '통증신호', '복합부위통증증후군', '비정형안면통증', '통증주사']"
베트남,3,7,"['베트남채소', '베트남떡', '베트남동', '베트남호치민', '베트남하우양', '베트남며느리', '베트남어']"
대소변,3,0,[]
반찬,3,0,[]
생선요리,3,0,[]
출산,3,1,['출산예정']
남편,3,1,['남편출근']
장작,3,0,[]
초조함,3,0,[]
냉면집,3,0,[]
불만,3,0,[]
기타연주,3,0,[]
전셋집,3,0,[]
경남진주시,3,0,[]
쌀국수,3,0,[]
빚,3,1,['빚보증']
단체손님,3,0,[]
조발성치매,3,0,[]
아내의치매,3,0,[]
요양원,3,0,[]
카레밥,3,0,[]
필리핀전통배,3,0,[]
수영,3,0,[]
바다,3,0,[]
물고기,3,0,[]
보쌈,3,0,[]
가출메모,2,0,[]
네티즌제보,2,0,[]
마트,2,0,[]
얼싸안기,2,0,[]
철로,2,0,[]
소원탑,2,0,[]
베를링턴테리어,2,0,[]
말티즈,2,0,[]
가출준비물,2,0,[]
소변실수,2,0,[]
강훈련사,2,0,[]
마운팅,2,0,[]
녹차밭,2,0,[]
개그맨,2,0,[]
안나푸르나,2,0,[]
전통춤,2,0,[]
잔디목걸이,2,0,[]
코스모스,2,0,[]
팔찌,2,1,['금팔찌']
금반지선물,2,0,[]
힌두교,2,0,[]
고부간의대화,2,0,[]
네팔결혼식,2,0,[]
치투앙,2,0,[]
네팔시장,2,0,[]
보성,2,0,[]
계단,2,0,[]
정상등반,2,0,[]
쩌나,2,0,[]
저녁식사,2,0,[]
히말라야,2,0,[]
설산,2,0,[]
쭈라,2,0,[]
카페트,2,0,[]
장보기,2,0,[]
포카라,2,0,[]
빨래,2,1,['공동빨래터']
사랑곳,2,0,[]
만년설,2,0,[]
이슬람교,2,0,[]
친정엄마,2,0,[]
네팔,2,2,"['네팔결혼식', '네팔시장']"
꽃돼지,2,0,[]
고향동생,2,0,[]
삼겹살,2,0,[]
마을회관,2,0,[]
선박부품제조업체,2,0,[]
무단결근,2,0,[]
옷선물,2,0,[]
직장동료,2,0,[]
변명,2,0,[]
분노,2,0,[]
여행준비,2,0,[]
정육점,2,0,[]
경위서,2,0,[]
옷가게,2,0,[]
경남창원시,2,0,[]
3도화상,2,0,[]
소독,2,0,[]
그림심리분석,2,0,[]
피부이식,2,0,[]
상추,2,0,[]
회사손해,2,0,[]
지하철,2,0,[]
반낫떼,2,0,[]
낀양,2,0,[]
담배,2,0,[]
요리준비,2,0,[]
노래방,2,0,[]
새우,2,1,['새우양식장']
달러,2,0,[]
베트남떡,2,0,[]
삼촌,2,0,[]
고부대화,2,0,[]
