".","Freq"
"먹방",635
"mukbang",394
"밴쯔",365
"asmr",346
"bts",259
"떵개",253
"워너원",249
"show",232
"eating",227
"korean",189
"kpop",173
"방탄소년단",173
"감스트",169
"뉴스",167
"벤쯔",167
"카톡",160
"창현",154
"benzz",149
"직캠",149
"banzz",147
"철구",145
"wannaone",142
"news",139
"#youtube",136
"한국",136
"로이조",134
"카카오톡",133
"강다니엘",130
"레전드",129
"윰댕",129
"이사배",128
"리얼사운드",126
"social",123
"악어",120
"양띵",114
"korea",113
"댄스",113
"라면",113
"몰카",112
"햇님",108
"입짧은햇님",107
"엠브로",103
"도로시",102
"양팡",102
"이설",102
"韓<U+56FD>大食い女性",102
"소프",101
"cover",100
"러너",100
"외질혜",100
"유소나",100
"평창올림픽",100
"프란",99
"최군",98
"봉준",97
"아침",97
"사나",96
"윽박",96
"최고다윽박",95
"jimin",94
"김레인",94
"쯔위",94
"꽃빈",93
"shin",92
"버블디아",92
"셀리",92
"점심",92
"도아",91
"와꾸대장봉준",91
"윤마",91
"이환",91
"지효",91
"a",90
"코코",90
"엣지",89
"저녁",89
"광저우사는여자",88
"도로시리얼사운드",88
"반응",88
"랜딩",87
"木下ゆうか",87
"여캠",87
"염보성",87
"일본",87
"지혜",87
"화정",87
"꽃자",86
"도로시먹방",86
"박가린",86
"슈기",86
"김이브님",85
"메이크업",85
"서윤",85
"아프리카",85
"여자친구",85
"햄튜브",85
"고두림",84
"브이로그",84
"음식",84
"꽃님",83
"꿀꿀선아",83
"나래",83
"노래하는코트",83
"대도서관",83
"딩고",83
"딩고스튜디오",83
"로이설",83
"망가녀",83
"밤비노",83
"소근커플",83
"쏘님",83
"아리샤",83
"아윤",83
"안나",83
"유은",83
"은솔",83
"이슬이",83
"인기동영상",83
"인아쨩",83
"지여닝",83
"채림",83
"채보미",83
"태리",83
"태림",83
"패션",83
"필메",83
"핫빈",83
"ctr",82
"jin",82
"jungkook",82
"vlog",82
"요리",82
"music",81
"아라시",81
"키노시타유우카",80
"게임",79
"디바제시카",79
"문재인",77
"생방송",76
"신기한",76
"prank",75
"세야",75
"연애",75
"평창",75
"리액션",74
"신태일",74
"아침뉴스",74
"보겸",73
"황민현",73
"kangdaniel",72
"방탄",72
"웃긴",72
"뷰티",71
"유튜브",71
"정오뉴스",71
"채원",71
"카톡대화",71
"24시간",70
"리뷰",70
"시니",70
"love",69
"버드리",69
"sub",68
"bj",67
"eng",67
"김윤태",67
"노래",67
"동영상",67
"tv",66
"공포",66
"치킨",66
"funny",65
"jfla",65
"reaction",65
"거리노래방",65
"남아공",65
"남아존",65
"시간",65
"아콩",65
"오빠야",65
"인범",65
"지유",65
"쪼꼬북",65
"타미미",65
"푸워",65
"핸콕",65
"히봉",65
"247",64
"suga",64
"올림픽",64
"화장품",64
"2018",63
"of",62
"영화",62
"옹성우",62
"one",61
"고백",61
"남자친구",61
"더블비",61
"영상",61
"24",60
"bangtan",60
"랍스타",60
"인스타",60
"박지훈",59
"실험",59
"연애상담",59
"일상",59
"한식",59
"핫",59
"kim",57
"mbc",57
"wanna",57
"릴마블",57
"블랙타이거",57
"스캔들",57
"연애플레이리스트",57
"연플리",57
"amazing",56
"박우진",56
"번호",56
"아프리카tv",56
"bj이환",55
"park",55
"unique",55
"남녀심리",55
"남사친",55
"모르는사람",55
"복수",55
"북한",55
"스팀걸",55
"스팀보이",55
"심부름",55
"씬",55
"여사친",55
"연애심리",55
"이쁜",55
"이환유튜브",55
"일본헌팅",55
"잘생긴",55
"조섭",55
"코트",55
"fancam",54
"마인크래프트",54
"박근혜",54
"아이돌",54
"지민",54
"하성운",54
"인터뷰",53
"배그",52
"배진영",52
"맛집",51
"여왕",51
"카톡으로말해요",51
"페이스북",51
"rap",50
"twice",50
"박민규",49
"장명준",49
"하면하지",49
"#breaking",48
"exo",48
"강호동",48
"김재환",48
"떡볶이",48
"여신",48
"이대휘",48
"モクバン",47
"네이버",47
"아프리카티비",47
"엄마",47
"합방",47
"eatingshow",46
"김보름",46
"김정은",46
"롤",46
"윤지성",46
"blackpink",45
"라이관린",45
"예능",45
"이벤트",45
"live",44
"the",44
"김이브",44
"씬님",44
"monster",43
"웃찾사",43
"game",42
"kbeauty",42
"웃음대박",42
"트와이스",42
"vs",41
"yt:cc=on",41
"인터넷방송",41
"america",40
"군대",40
"남순",40
"동계올림픽",40
"레드벨벳",40
"쇼뮤직파워",40
"아카데미",40
"장구",40
"장구의",40
"전국노래자랑",40
"전국탑텐가요쇼",40
"전문학원",40
"행사의",40
"dance",39
"taehyung",39
"남편",39
"눈물",39
"스트리머",39
"이유",39
"정국",39
"중국",39
"품바여왕",39
"beauty",38
"lol",38
"다음펜카페",38
"디렉터파이",38
"밴쯔먹방",38
"보물섬",38
"오노사토시",38
"유재석",38
"조민기",38
"품바사랑",38
"arashi",37
"review",37
"뉴이스트",37
"드라마",37
"미국",37
"쇼트트랙",37
"신의",37
"이수근",37
"이혼",37
"하이라이트",37
"화장",37
"entertaiment",36
"가족",36
"강식당",36
"국정원",36
"다시보기",36
"사쿠라이쇼",36
"속보",36
"야방",36
"여행",36
"연예인",36
"mv",35
"여자",35
"짜장면",35
"beo",34
"deu",34
"jhope",34
"makeup",34
"minhyun",34
"ri",34
"snl",34
"states",34
"united",34
"video",34
"youtube",34
"공연",34
"뉴스공장",34
"대한민국",34
"버드리공연",34
"뷔",34
"성인가요콘서트",34
"엔터테인먼트",34
"종현",34
"진",34
"피현정",34
"해외",34
"army",33
"daniel",33
"jisoo",33
"jung",33
"lisa",33
"yoongi",33
"you",33
"youtuber",33
"고작",33
"금메달",33
"마루에몽",33
"버드리품바",33
"베트남",33
"해병대",33
"cute",32
"fake",32
"rm",32
"vixx",32
"니노미야카즈나리",32
"실물",32
"은지원",32
"중식",32
"코스프레",32
"트위치",32
"au",31
"directorpi",31
"gr",31
"남자",31
"嵐",31
"추천",31
"충격",31
"투어",31
"평창동계올림픽",31
"breaking",30
"nam",30
"v",30
"로드샵",30
"로제",30
"무한도전",30
"민현",30
"빵",30
"아내",30
"아이바마사키",30
"양식",30
"일식",30
"정선호",30
"후기",30
"boys",29
"girl",29
"got7",29
"realsound",29
"걸그룹",29
"결혼",29
"고등래퍼2",29
"고양이",29
"나루토",29
"박항서",29
"석준이가해",29
"성수커플",29
"싱호",29
"야식",29
"연예계",29
"이명박",29
"btob",28
"cat",28
"대통령",28
"라이브",28
"배나tv",28
