"","tag_27_1","Freq"
"1","[none]",103
"2","119",15
"3","119신고",6
"4","119전화",6
"5","19세",2
"6","2018",3
"7","38선",4
"8","4.3",4
"9","4.3사건",4
"10","43",4
"11","43사건",4
"12","4th grader",1
"13","5.18",39
"14","50대",2
"15","70주년",4
"16","90회 아카데미 시상식",1
"17","9급공무원",3
"18","accent",54
"19","Alexa",6
"20","ampullarius insularus",2
"21","ASIAN U23 2018",2
"22","asmr",14
"23","ASMR",11
"24","assassin",11
"25","Bitcoin",6
"26","Bitcoin cash",6
"27","BJ",56
"28","BJ디바제시카",54
"29","BJ제시카",54
"30","Breathing",9
"31","bug",2
"32","cam",3
"33","Cam xuc vo oa",1
"34","Class 106-1",3
"35","cover",1
"36","daft punk",1
"37","dana",6
"38","Darling",9
"39","deevajessica",54
"40","DickHunter",9
"41","Donald Trump",39
"42","drama",3
"43","earCleaning",9
"44","education",1
"45","Egg&bugs",2
"46","elementary school",1
"47","elliott wave",6
"48","Eraing",6
"49","ewha",2
"50","exo",2
"51","GBU28",2
"52","GDP",1
"53","Graduation of the Zion Christian Mission Center",3
"54","harmonic pattern",6
"55","HENNA",6
"56","HETC",6
"57","HETC파생교육클럽",6
"58","HMBC",3
"59","HYEDY",6
"60","IFRS",1
"61","inspiration",4
"62","inspirational",4
"63","IRP",1
"64","jessica",54
"65","John",3
"66","John Tribe",3
"67","KangDaniel",6
"68","KARA",2
"69","kbs",4
"70","KBS",4
"71","Khoanh khac lich su",1
"72","KHOANH KHAC LICH SU",2
"73","kimmikyung",5
"74","KINH THIEN DONG DIA",2
"75","kmktv",3
"76","korea",3
"77","korea war",39
"78","korean",3
"79","live",3
"80","Luin",9
"81","Massage",6
"82","Mattis",39
"83","MB",4
"84","MBC",17
"85","MBRO",2
"86","Meesh",6
"87","mikyungkim",4
"88","miniyu",6
"89","mktv",5
"90","MKTV",3
"91","MKTVM",1
"92","motivation",4
"93","motivational",4
"94","movie",3
"95","MUKBANG",9
"96","music",1
"97","music education",1
"98","news",11
"99","NL",11
"100","nomnomsammieboy",9
"101","O2",2
"102","OngSeongwu",2
"103","PD",11
"104","penalty",1
"105","PPOMO",6
"106","price atcion",6
"107","rappeler",9
"108","realsound",6
"109","Relaxing",9
"110","RolePlay",9
"111","roy benavidez",2
"112","SBS",2
"113","school band",1
"114","Seniro",9
"115","SkSkSk",6
"116","SKY",2
"117","SOL",6
"118","SOL로시작",2
"119","something about us",1
"120","Soy",6
"121","students",1
"122","study",3
"123","study with me",1
"124","studywithme",2
"125","Suzevi",6
"126","Tapping",9
"127","TED",4
"128","TED X",4
"129","Thomwhat",6
"130","Touko",6
"131","trigger",9
"132","tv",4
"133","u23 Iraq",1
"134","U23 QUATA",2
"135","u23 Vietnam",1
"136","U23 VIETNAM",2
"137","U23 VIETNAM 2-2 (4-3) U23 QUATAR",2
