fid,lat,lon,Annual_WS,Annual_WD,fid_2,DN
"399",37.654,127.026,2.58,301.94,"1","59"
"387",37.645,127.026,2.49,299.11,"2","58"
"399",37.654,127.026,2.58,301.94,"2","58"
"400",37.654,127.038,2.58,309.53,"2","58"
"401",37.663,127.027,2.68,302.49,"2","58"
"402",37.663,127.038,2.64,310.52,"2","58"
"426",37.644,127.073,2.58,300.77,"3","50"
"430",37.645,127.061,2.58,300.47,"3","50"
"431",37.654,127.062,2.62,303.96,"3","50"
"432",37.654,127.073,2.57,304.68,"3","50"
"433",37.654,127.085,2.7,323.75,"3","50"
"435",37.663,127.073,2.57,312.24,"3","50"
"434",37.663,127.062,2.68,312.18,"3","50"
"436",37.663,127.085,2.86,331.49,"3","50"
"437",37.672,127.062,2.76,324.44,"3","50"
"438",37.672,127.073,2.76,324.13,"3","50"
"387",37.645,127.026,2.49,299.11,"4","57"
"398",37.645,127.038,2.52,306.56,"4","57"
"399",37.654,127.026,2.58,301.94,"4","57"
"400",37.654,127.038,2.58,309.53,"4","57"
"401",37.663,127.027,2.68,302.49,"4","57"
"402",37.663,127.038,2.64,310.52,"4","57"
"387",37.645,127.026,2.49,299.11,"5","56"
"398",37.645,127.038,2.52,306.56,"5","56"
"399",37.654,127.026,2.58,301.94,"5","56"
"400",37.654,127.038,2.58,309.53,"5","56"
"401",37.663,127.027,2.68,302.49,"5","56"
"402",37.663,127.038,2.64,310.52,"5","56"
"385",37.645,127.003,3.63,289.2,"6","48"
"386",37.645,127.015,2.77,292.57,"6","48"
"389",37.654,127.003,3.62,287.85,"6","48"
"390",37.654,127.015,2.76,293.34,"6","48"
"387",37.645,127.026,2.49,299.11,"7","55"
"390",37.654,127.015,2.76,293.34,"7","55"
"393",37.664,127.015,2.88,292.8,"7","55"
"398",37.645,127.038,2.52,306.56,"7","55"
"399",37.654,127.026,2.58,301.94,"7","55"
"400",37.654,127.038,2.58,309.53,"7","55"
"401",37.663,127.027,2.68,302.49,"7","55"
"402",37.663,127.038,2.64,310.52,"7","55"
"404",37.673,127.027,2.92,303.58,"7","55"
"405",37.672,127.038,2.79,311.64,"7","55"
"408",37.654,127.05,2.57,307.82,"7","55"
"298",37.636,127.015,2.91,294.37,"8","49"
"297",37.636,127.003,3.72,294.37,"8","49"
"385",37.645,127.003,3.63,289.2,"8","49"
"386",37.645,127.015,2.77,292.57,"8","49"
"389",37.654,127.003,3.62,287.85,"8","49"
"390",37.654,127.015,2.76,293.34,"8","49"
"381",37.636,127.026,2.54,297.8,"9","54"
"382",37.636,127.038,2.49,302.99,"9","54"
"387",37.645,127.026,2.49,299.11,"9","54"
"390",37.654,127.015,2.76,293.34,"9","54"
"393",37.664,127.015,2.88,292.8,"9","54"
"395",37.673,127.015,3.16,294.64,"9","54"
