fid,lat,lon,avg_dust,max_dust,min_dust
415,37.7,127.016,52.5,53,52
443,37.691,127.06200000000001,52.0,52,52
445,37.69,127.085,51.5,52,51
412,37.691,127.015,52.5,53,52
444,37.691,127.074,52.0,52,52
416,37.7,127.027,52.5,53,52
411,37.681999999999995,127.05,52.5,53,52
414,37.691,127.039,52.5,53,52
396,37.681999999999995,127.00399999999999,52.0,52,52
441,37.681,127.074,51.5,52,51
397,37.681999999999995,127.015,52.5,53,52
442,37.681,127.085,51.5,52,51
440,37.681,127.06200000000001,51.5,52,51
413,37.691,127.027,53.0,53,53
405,37.672,127.038,54.0,55,53
438,37.672,127.073,50.5,51,50
437,37.672,127.06200000000001,51.0,52,50
391,37.664,126.992,51.5,52,51
394,37.673,127.00399999999999,52.0,52,52
404,37.673,127.027,54.0,55,53
439,37.672,127.085,51.0,51,51
393,37.664,127.015,52.5,55,50
436,37.663000000000004,127.085,50.5,51,50
403,37.663000000000004,127.05,52.5,54,51
402,37.663000000000004,127.038,56.0,58,54
392,37.664,127.00299999999999,51.0,52,50
433,37.654,127.085,50.5,51,50
408,37.654,127.05,53.0,55,51
389,37.654,127.00299999999999,49.5,51,48
390,37.654,127.015,51.5,55,48
400,37.654,127.038,56.0,58,54
388,37.655,126.992,50.5,51,50
399,37.654,127.02600000000001,56.0,59,53
428,37.644,127.096,51.0,51,51
384,37.645,126.991,50.5,51,50
476,37.655,126.945,52.0,52,52
474,37.646,126.945,52.0,52,52
473,37.646,126.93299999999999,52.0,52,52
407,37.645,127.05,53.0,54,52
475,37.646,126.956,52.0,52,52
387,37.645,127.02600000000001,54.5,58,51
386,37.645,127.015,50.5,53,48
427,37.644,127.085,51.0,51,51
469,37.637,126.921,52.0,52,52
471,37.637,126.945,52.0,52,52
429,37.644,127.10799999999999,51.5,52,51
470,37.637,126.93299999999999,52.0,52,52
424,37.635,127.096,51.0,51,51
298,37.635999999999996,127.015,50.5,52,49
472,37.635999999999996,126.956,52.0,52,52
423,37.635,127.084,51.0,51,51
297,37.635999999999996,127.00299999999999,50.0,51,49
383,37.635,127.04899999999999,53.0,54,52
456,37.628,126.91,52.0,52,52
296,37.635999999999996,126.991,50.5,51,50
418,37.635,127.061,51.5,52,51
382,37.635999999999996,127.038,53.5,54,53
