fid,매우양호,양호,약간양호,약간불량,불량,매우불량,기타,총면적
1,7365.55,143826.472,0,920992.235,0,0,0,1072184.257
2,0,138713.357,596868.909,219892.248,0,0,0,955474.514
3,453417.38,374701.20999999996,111631.503,28099.528,0,46702.56,0,1014552.1810000001
4,459803.127,259866.112,114858.774,42443.028,0,180320.256,0,1057291.297
5,64302.56,548814.418,71604.65,379548.659,0,52557.533,0,1116827.82
6,0,47567.128,0,1024608.924,0,0,0,1072176.052
7,191171.835,80623.774,165050.808,634695.204,0,0,0,1071541.621
8,557372.829,287615.118,32603.266,133610.24,0,45964.014,0,1057165.467
9,0,79100.443,9120.939999999999,983066.033,0,0,0,1071287.416
10,0,16826.927,15940.617,1083749.195,0,0,0,1116516.739
11,0,310095.289,97031.587,607653.087,0,0,0,1014779.963
12,56513.737,392556.112,62516.621,612570.832,0,0,0,1124157.3020000001
13,0,397178.786,204037.207,154109.909,0,0,0,755325.902
14,0,272872.646,166548.05000000002,679411.903,0,0,0,1118832.599
15,0,348678.742,111462.155,611280.79,0,0,0,1071421.687
16,0,615831.238,238317.367,173882.929,0,0,0,1028031.534
17,0,839379.43,88470.55,128221.248,0,0,0,1056071.2280000001
18,0,368677.509,124157.154,579601.578,0,0,0,1072436.241
19,0,579708.591,161937.548,160321.972,0,0,0,901968.111
20,0,755327.012,72652.027,242516.134,0,0,0,1070495.173
21,0,413304.793,93722.854,517577.651,0,0,32923.113,1057528.4109999998
22,0,828583.945,26095.841,163240.999,0,0,0,1017920.7849999999
23,0,264986.49799999996,93284.728,643927.128,0,0,56702.453,1058900.807
24,0,568715.481,170559.962,275504.527,0,0,0,1014779.97
25,167428.409,484406.526,86130.12299999999,468980.869,0,0,59613.831,1266559.7580000001
26,0,714406.891,196298.12900000002,103954.339,0,0,0,1014659.359
27,65551.048,430127.026,219088.635,283187.727,0,0,11313.945,1009268.3809999999
28,0,750934.009,7861.963,0,0,0,0,758795.972
29,0,0,0,1317409.381,0,0,0,1317409.381
30,0,456037.051,93831.21,103023.089,0,0,690.797,653582.147
31,0,12362.708999999999,3267.8559999999998,970180.027,0,0,21505.987,1007316.5789999999
32,0,401019.408,105313.56400000001,449130.83300000004,0,0,59436.712,1014900.517
33,0,254620.931,255340.274,545150.698,0,0,27361.725,1082473.628
34,0,0,0,524996.415,0,0,0,524996.415
35,0,116741.00200000001,120960.853,1051520.927,0,0,65670.977,1354893.7589999998
36,0,757817.07,126128.9,131075.082,0,0,0,1015021.0519999999
