emd_kor_nm,emd_cd,max_tmp,avg_tmp
도봉동,11320108,36,30.238095238095237
상계동,11350105,39,24.76228209191759
우이동,11305104,35,29.01923076923077
방학동,11320106,36,30.939393939393938
중계동,11350106,35,27.668449197860962
쌍문동,11320105,35,31.24137931034483
창동,11320107,37,32.40860215053763
진관동,11380114,31,19.864516129032257
수유동,11305103,36,25.14367816091954
하계동,11350104,36,31.959183673469386
월계동,11350102,36,31.366336633663366
공릉동,11350103,40,31.85645933014354
번동,11305102,36,31.295081967213115
정릉동,11290133,36,23.71386430678466
갈현동,11380104,34,29.376623376623378
구기동,11110182,31,19.337719298245613
미아동,11305101,36,32.19402985074627
불광동,11380103,33,24.050314465408807
평창동,11110183,29,20.485632183908045
구산동,11380105,34,27.59090909090909
장위동,11290138,36,33.0
신내동,11260106,40,30.69924812030075
묵동,11260104,36,31.42105263157895
대조동,11380106,32,30.833333333333332
석관동,11290139,36,32.0
길음동,11290134,35,32.44444444444444
망우동,11260105,42,32.25850340136054
하월곡동,11290136,36,31.78048780487805
상월곡동,11290137,35,31.61111111111111
역촌동,11380108,33,29.5
녹번동,11380102,33,29.705882352941178
신영동,11110186,31,24.69811320754717
개화동,11500110,36,28.893617021276597
홍지동,11110185,32,29.105263157894736
중화동,11260103,35,31.21951219512195
이문동,11230110,38,32.64150943396226
홍은동,11410118,33,26.966480446927374
신사동,11380109,34,29.21951219512195
상봉동,11260102,35,31.821428571428573
성북동,11290101,35,30.613636363636363
부암동,11110184,33,23.24576271186441
종암동,11290135,35,31.77777777777778
돈암동,11290103,34,31.16216216216216
응암동,11380107,34,30.1875
홍제동,11410111,33,24.87121212121212
회기동,11230108,36,32.13333333333333
삼청동,11110140,33,29.647058823529413
청량리동,11230107,38,33.03125
수색동,11380101,36,30.483870967741936
청운동,11110101,36,31.142857142857142
동소문동6가,11290109,35,33.6
동소문동7가,11290110,35,33.5
휘경동,11230109,35,31.677419354838708
안암동5가,11290125,36,32.370370370370374
동선동4가,11290119,35,33.4
동선동3가,11290118,35,33.0
면목동,11260101,34,25.802702702702703
동선동1가,11290116,34,33.333333333333336
동선동5가,11290120,34,33.333333333333336
동소문동5가,11290108,34,33.333333333333336
상암동,11440127,37,28.785714285714285
혜화동,11110169,34,33.44444444444444
명륜1가,11110170,34,33.4
동소문동4가,11290107,35,33.4
명륜3가,11110173,34,30.272727272727273
방화동,11500109,37,28.887218045112782
동선동2가,11290117,34,32.166666666666664
증산동,11380110,34,30.526315789473685
안암동1가,11290121,35,33.25
제기동,11230103,39,35.26315789473684
북가좌동,11410119,34,31.695652173913043
동소문동3가,11290106,35,33.5
삼선동4가,11290114,34,33.0
와룡동,11110130,32,23.39240506329114
원서동,11110149,31,22.6
동소문동1가,11290104,36,34.5
동소문동2가,11290105,36,35.0
삼선동2가,11290112,35,32.111111111111114
삼선동5가,11290115,35,33.75
삼선동3가,11290113,36,33.44444444444444
안암동2가,11290122,36,34.285714285714285
마곡동,11500105,34,28.427807486631018
세종로,11110119,33,27.766233766233768
궁정동,11110103,34,32.0
계동,11110148,33,23.693548387096776
신교동,11110102,33,31.11111111111111
명륜2가,11110171,34,33.25
전농동,11230104,36,32.2972972972973
남가좌동,11410120,35,31.952380952380953
안암동3가,11290123,34,32.833333333333336
가회동,11110146,32,23.634146341463413
옥인동,11110111,34,31.0
보문동1가,11290130,36,35.0
연희동,11410117,37,30.645454545454545
보문동5가,11290127,35,34.75
보문동2가,11290131,35,34.0
보문동4가,11290126,35,34.0
동숭동,11110168,34,30.08
성북동1가,11290102,35,34.0
삼선동1가,11290111,35,32.44444444444444
효자동,11110104,35,34.0
팔판동,11110139,31,30.0
보문동3가,11290132,34,32.0
누하동,11110110,34,32.5
통인동,11110108,34,33.25
숭인동,11110175,37,33.47826086956522
누상동,11110109,33,30.22222222222222
창성동,11110105,34,32.166666666666664
명륜4가,11110172,34,32.5
연건동,11110166,33,23.85185185185185
안암동4가,11290124,34,33.0
화동,11110143,30,23.833333333333332
보문동6가,11290128,35,33.5
소격동,11110142,30,27.545454545454547
용두동,11230102,37,34.09090909090909
창신동,11110174,37,33.375
가양동,11500104,35,27.662337662337663
보문동7가,11290129,36,34.2
통의동,11110106,33,31.6
안국동,11110141,29,22.866666666666667
재동,11110147,23,18.884615384615383
과해동,11500111,39,31.435714285714287
무악동,11110187,34,31.5
권농동,11110131,31,22.307692307692307
이화동,11110165,34,30.785714285714285
사간동,11110144,31,29.4
송현동,11110145,31,28.636363636363637
신설동,11230101,36,33.714285714285715
중동,11440126,34,32.18181818181818
봉원동,11410115,32,28.31578947368421
필운동,11110113,33,31.0
사직동,11110115,33,30.4
행촌동,11110181,35,31.6
체부동,11110112,33,32.5
내자동,11110114,33,30.857142857142858
장안동,11230106,36,33.0
현저동,11410109,34,30.727272727272727
경운동,11110134,31,22.79245283018868
운니동,11110132,29,21.87878787878788
수송동,11110124,31,27.071428571428573
중학동,11110125,31,27.235294117647058
훈정동,11110150,33,23.18103448275862
강일동,11740110,37,29.773809523809526
적선동,11110107,32,28.19047619047619
충신동,11110167,34,33.5
관훈동,11110128,31,25.483870967741936
연지동,11110160,35,24.605263157894736
원남동,11110159,22,17.772727272727273
성산동,11440125,34,30.666666666666668
익선동,11110133,34,30.142857142857142
