fid,avg_tmp,max_tmp,min_tmp,상업/업무지(도시),도로(도시),일반주택지(도시),교육/군사시설(도시),유원지(임지),공공용지(도시),인공녹지(도시),하천(수계),고층주택지(도시),공업시설(도시),침엽수림(임지),암벽/석산(임지),미경지정리답(농지),보통/특수작물(농지),처리장(도시),저수지/늪(수계),자연초지(임지),발전시설(도시),공업나지(도시),인공초지(임지),경지정리답(농지),활엽수림(임지),철로(도시),골프장(임지),혼합수림(임지),가축/사육시설(도시),공원묘지(임지),과수원(농지),매립지(도시),shape_area
415,25.2,27,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15957257.793,206210.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16163468.703
416,26.0,27,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15957257.793,12540.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15969798.726
412,25.857142857142858,27,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15957257.793,206210.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16163468.703
444,20.015151515151516,28,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8077097.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8077097.28
445,20.704545454545453,27,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8077097.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8077097.28
414,31.307692307692307,35,27,24714.695,2432519.648,104145.60999999999,13218.085,90912.46100000001,0.0,7040.017,7473.982,0.0,42163.242,15957257.793,0.0,0.0,54734.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48854.325999999994,0.0,0.0,0.0,0.0,0.0,0.0,18783034.518
443,28.076923076923077,32,25,0.0,2432519.648,101179.26499999998,0.0,0.0,0.0,76290.195,0.0,0.0,0.0,8077097.28,0.0,0.0,83870.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10770956.78
413,26.88888888888889,29,26,0.0,0.0,0.0,0.0,65855.164,0.0,0.0,0.0,0.0,0.0,15957257.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16023112.957
411,32.06666666666667,36,28,71944.339,2432519.648,582440.743,85827.22399999999,0.0,33041.289000000004,133353.49399999998,158660.211,282337.592,95160.818,15957257.793,0.0,0.0,245992.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48854.325999999994,0.0,0.0,0.0,0.0,0.0,0.0,20127389.766
396,25.555555555555557,27,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1823.279,0.0,0.0,29396643.088999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29398466.367999997
397,26.166666666666668,27,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15957257.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15957257.793
410,31.047619047619047,35,27,54863.002,2432519.648,260598.22599999997,25746.237,94246.25700000001,32832.209,1270.345,29214.822,13962.628999999999,0.0,15957257.793,0.0,0.0,13940.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18916452.077
409,27.6,30,26,0.0,0.0,0.0,0.0,78085.83600000001,0.0,0.0,29214.822,0.0,0.0,15957257.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16064558.451
440,29.7,34,26,10920.378,2432519.648,126494.57199999999,59040.005,0.0,26788.755999999998,39782.219,0.0,190408.934,0.0,8077097.28,0.0,0.0,57273.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11020325.412
442,27.6,29,26,0.0,0.0,118412.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8077097.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8195510.216
441,26.88888888888889,28,26,0.0,0.0,0.0,0.0,0.0,13272.008999999998,0.0,0.0,0.0,0.0,8077097.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8090369.289
405,31.0,35,27,0.0,2432519.648,719418.8859999999,13143.957,0.0,0.0,16731.112,23429.821,0.0,0.0,15957257.793,0.0,0.0,66503.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19229004.662
404,29.875,34,26,0.0,0.0,14085.224999999999,0.0,0.0,0.0,0.0,13836.753,0.0,0.0,15957257.793,0.0,0.0,30477.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16015657.683999998
438,25.333333333333332,32,18,0.0,0.0,177856.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8077097.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8254954.104
406,33.0,36,29,72103.151,2432519.648,606767.2189999999,53819.467000000004,0.0,134262.747,73638.862,368475.45499999996,308223.747,0.0,15957257.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20007068.088999998
437,30.333333333333332,35,26,33920.182,2432519.648,223833.495,51179.084,0.0,0.0,0.0,0.0,495231.00000000006,0.0,8077097.28,0.0,0.0,27184.242000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11340964.931
395,27.0,29,26,0.0,0.0,0.0,0.0,330233.273,0.0,0.0,0.0,0.0,0.0,15957257.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16287491.066
439,21.019323671497585,32,14,74181.34799999998,3820779.461,503675.95000000007,0.0,0.0,0.0,55.339,0.0,0.0,0.0,13680061.296000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362241.271,0.0,0.0,0.0,0.0,0.0,0.0,18440994.665
391,26.11111111111111,27,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13439385.295999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13439385.295999998
394,27.375,29,26,0.0,0.0,0.0,0.0,330233.273,0.0,0.0,10517.595,0.0,0.0,29396643.088999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29737393.957
401,31.103448275862068,36,27,3045.145,2432519.648,343960.92000000004,40582.213,0.0,0.0,0.0,0.0,390959.815,0.0,16182305.027999999,0.0,0.0,10636.923999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242230.48,0.0,0.0,19646240.172999997
436,23.71014492753623,33,14,83081.118,3820779.461,473372.325,162170.611,0.0,0.0,0.0,0.0,114780.046,0.0,13656723.396000002,0.0,0.0,51749.757000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362241.271,0.0,0.0,0.0,0.0,14890.481000000002,0.0,18739788.466000002
435,30.5,34,26,66345.784,3820779.461,456972.7730000001,183234.176,0.0,21729.812,0.0,0.0,372350.68700000003,0.0,8077097.28,0.0,0.0,36927.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362241.271,0.0,0.0,3077.6209999999996,0.0,0.0,0.0,13400756.172000002
403,34.507246376811594,39,29,57316.640999999996,2432519.648,409157.209,120104.448,0.0,32134.139,132357.868,351152.397,436292.088,58283.37300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362241.271,0.0,0.0,0.0,0.0,0.0,0.0,4391559.082
