FilmAni_tags,number,overlap_num,overlap_word
영화,551,239,"['영화리뷰', '영화소개', '영화추천', '한국영화', '추천영화', '망한영화', '영화걸작선', '해외영화', '영화명장면', '영화유튜브', '공포영화', '영화유튜버', '만화영화', '스릴러영화', '공포영화추천', '인생영화', '일본영화', '일본영화추천', '영화예고편', '좋은영화추천', '좋은영화', '영화공작소', '코미디영화추천', '로맨스영화추천', '일본영화명작', '일본영화리뷰', '일본영화비밀', '일본영화공포', '액션영화추천', '일본영화베스트', '집에서볼만한영화추천', '일본영화명장면', '영화채널', '스릴러영화추천', '판타지영화추천', '재밌는영화추천', '인생영화추천', '외국영화추천', 'sf영화추천', '영화2018', '일본영화드라마', '일본영화다시보기', '마블영화', '호러영화', '일본영화감동', '영화줄거리', '영화해석', 'sf영화', '스릴러공포영화', '최신영화', '스릴러추천영화', '호러영화추천', '명작영화', '영화가좋다', '좀비영화', '영화학', '영화광', '로맨스영화', '영화연극', '코미디영화', '청불영화', '영화정보', '영화삐맨', '삐맨영화', '가족영화', '영화후기', '헐리우드영화', '유튜브영화', '볼만한영화', '독일영화', '액션영화', '영화2017', '영화어메이징메리', '일본영화소개', '영화염력', '영화염력소감', '영화염력후기', '영화염력리뷰', '2018년개봉영화', '망작영화제', '상어영화', '괴물영화', '유튜브추천영화', '동물영화', '영화다시보기', '무서운영화', '곤지암영화', '일본영화순위', '영화노잉', '넷플릭스영화', '인기영화', '반전영화', '영화13층', '무비트립영화추천', '영화13층원작', '반전영화추천', '영화13층예고편', '일본영화고백', '영화고백', '하이틴영화', '영화개들의전쟁', '하이틴영화ost', '로맨틱코미디영화', '로맨틱코미디영화추천', '하이틴영화추천', '영화인타임', '걸작영화', '서클영화', '마피아게임영화', '영화써클', '영화써클2015다시보기', '영화써클리뷰', '영화써클후기', '기생수영화', '멜로영화', '영화사두둥', '영화;', '영화추천;', '영화소개;', '힐링영화', '초능력자영화', '퍼니셔영화', '영화아델라인', '영화신과함께', '대충만든영화', '영화배우', '장르영화', '영화데빌리뷰', '영화데블리뷰', '데블영화결말', '데블영화', '영화데빌', '영화예고', '외국영화', '드라마영화', '영화들개', '영화부산행', '박정민영화', '이정현영화', '영화놈놈년', '영화셰이프오브워터', 'dc영화', '변요한영화', '영화걸작선영화', '현실영화', 'cgv영화', '영화방황하는칼날', '청소년관람불가영화', '걸작영화제', '영화제', '히어로영화', '슈퍼히어로영화', '영화핸콕', '영화명대사', '무서운영화추천', '공포영화흥행', '공포영화베스트10', '우주영화', '범죄영화', '핀란드영화', '멜로영화추천', '영화범죄도시', '일본로맨스영화', '영화아이언스카이', '고마츠나나영화', '액션영화의수작', '영화월플라워', '2017년영화', '영화말죽거리잔혹사', '영화매직티팟', '어벤져스영화', '재난영화', '공포영화명장면', '공포영화보기', '공포영화top', '공포영화full', '영화숨바꼭질', '영화인택토', '영화줄거리요약', '영화인택토줄거리', '영화신과함께:죄와벌', '영화찰리바틀렛', '공포영화베스트', '공포영화시리즈', '공포영화리뷰', '공포영화다시보기', '공포영화다운', '공포영화순위', '공포영화줄거리', '영화편집', '독립영화', '킬링타임영화', '마블영화리뷰', '마블영화후기', '일본영화;', '범죄스릴러영화', '배드지니어스영화', '프랑스영화', '예술영화', '영화광고', '유럽영화', '영화해적', '영화다크시티', '영화곡성', '게임원작영화', '제이크질렌할영화', '게임영화', '모험영화', '영화블라인드ost', '영화블라인드리메이크', '영화블라인드결말', '디즈니영화', '영화블라인드', '영화모범시민', '외계인영화', '스릴러공포영화추천', '영화캐치미이프유캔', '사기영화', '튜나영화', '영화현기증해석', '김소은영화', '한국영화추천', '김영애영화', '로맨스코미디영화추천', '왕따영화', '영화ost', '독립영화추천', '중국영화', '영화추천채널', '영화소개채널', '영화소개유튜브', '영화곤지암', '다양성영화', '영화현기증리뷰', '송일국영화', '영화현기증후기', '영화현기증', '다양성영화추천', '영화택시운전사']"
영화리뷰,421,3,"['일본영화리뷰', '공포영화리뷰', '마블영화리뷰']"
[none],368,0,[]
영화소개,277,4,"['일본영화소개', '영화소개;', '영화소개채널', '영화소개유튜브']"
영화추천,268,27,"['공포영화추천', '일본영화추천', '좋은영화추천', '코미디영화추천', '로맨스영화추천', '액션영화추천', '집에서볼만한영화추천', '스릴러영화추천', '판타지영화추천', '재밌는영화추천', '인생영화추천', '외국영화추천', 'sf영화추천', '호러영화추천', '무비트립영화추천', '반전영화추천', '로맨틱코미디영화추천', '하이틴영화추천', '영화추천;', '무서운영화추천', '멜로영화추천', '스릴러공포영화추천', '한국영화추천', '로맨스코미디영화추천', '독립영화추천', '영화추천채널', '다양성영화추천']"
리뷰,230,37,"['영화리뷰', '리뷰엉이', '일본영화리뷰', '게임리뷰', '튜나의비열한리뷰', '신과함께리뷰', '염력리뷰', '영화염력리뷰', '어벤져스인피니티워리뷰', '쉬즈더맨리뷰', '슬기로운감빵생활리뷰', '드라마리뷰', '슬빵리뷰', '블랙팬서리뷰', '써클리뷰', '영화써클리뷰', '리뷰;', '단1개리뷰', '영화데빌리뷰', '영화데블리뷰', '데블리뷰', '방황하는칼날리뷰', '들개리뷰', '핸콕리뷰', '나는내일어제의너와만난다리뷰', '매직티팟리뷰', '마블리뷰', '가이드리뷰', '공포영화리뷰', '저스티스리그리뷰', '튜나리뷰', '마블영화리뷰', '배드지니어스리뷰', '스릴러리뷰', '캐치미이프유캔리뷰', '인피니티워리뷰', '영화현기증리뷰']"
마블,179,46,"['삐맨마블', '마블영화', '마블삐맨', '욘두의마블', '캡틴마블', '마블분석', '마블시네마틱유니버스', '마블어벤져스인피니티워', '마블죽음', '마블어벤져스', '마블히어로', '마블어벤져스인피니티워예고편', '무비트립마블', '마블해석', '마블인피니티워', '마블블랙팬서', '마블퍼니셔', '마블히어로운동', '인피니티워캡틴마블', '켑틴마블', '어벤져스마블', '마블떡밥', '마블레고', '마블예측', '마블추리', '마블리뷰', '마블후기', '마블인터뷰', '블랙팬서마블', '마블영화리뷰', '마블영화후기', '마블슈퍼히어로', '마블리', '마블;', '마블쟁이', '마블예고편', '마블요약', '마블정리', '마블크리스마스', '마블정주행', '마블캐롤', '마블어젠져스캐롤', '크리스마스마블', '마블코믹스', '#마블리', '#장췐#장이수#범죄도시#윤계상#마블리#마동석']"
무비,154,29,"['리드무비', '무비몬스터', '스낵무비', '리드무비c', '리드무비독', '리드무비s', '리드무비에세이', '무비트립', '리드무비d', '무비콕콕', '접속무비월드', '무비스타', '지무비', '무비메이커', '무비트립인피니티워', '인피니티워예고편무비트립', '무비트립영화추천', '무비트립마블', '무비트립아이언맨', '액션무비', '무비콕', '슬래셔무비', '원피스매드무비', '어벤져스무비', '파워무비', '접속무비월드배드지니어스', '무비43', '무비트랩', '나루토매드무비']"
베이블레이드,150,17,"['베이블레이드버스트', '베이블레이드버스트대회', '베이블레이드버스트대결', '베이블레이드경기장', '베이블레이드배틀세트', '베이블레이드버스트만화', '베이블레이드시즌2', '베이블레이드버스트갓', '베이블레이드.', '베이블레이드버스트초제트', '베이블레이드버스트갓애니', '메탈베이블레이드', '베이블레이드버스트초제츠', '베이블레이드버스트갓25화', '베이블레이드버스트갓랭킹', '베이블레이드버스트시즌3', '베이블레이드버스트제츠']"
나루토,141,16,"['나루토명장면', '나루토결말', '우즈마키나루토', '나루토은혼', '나루토문제점', '나루토흥행', '기승전모나루토', '나루토사스케', '모아요나루토', '나루토근황', '나루토매드무비', '나루토중급닌자시험', '나루토강한순위', '나루토강함순위', '나루토완결', '나루토질풍전']"
블리치,139,15,"['블리치마지막화', '블리치아이젠', '블리치1화', '블리치만해', '블리치오프닝', '블리치명장면', '블리치ost', '블리치극장판', '블리치op', '블리치브금', '블리치결말', '킬애블리치', '블리치화이트', '블리치대장', '애니킬러블리치']"
원피스,139,28,"['원피스명장면', '#원피스#빅맘#푸딩#삼안족', '원피스매드무비', '원피스901화', '원피스820화', '원피스어인섬', '원피스오로성', '원피스빅맘', '원피스사황', '#원피스#악마의열매#칼리파#카쿠', '원피스시라호시', '원피스카이도', '원피스천룡인', '원피스카이도우', '원피스토론', '원피스사보', '원피스혁명군검은수염', '원피스벨로베티', '원피스혁명군', '원피스904화', '원피스혁명군최고간부', '원피스드래곤', '원피스루피', '원피스혁명군기지', '원피스쵸파토론', '원피스899화', '#원피스#이글이글열매#에이스#사보', '원피스초파']"
팽이,132,10,"['신제품장난감팽이', '배틀팽이', '장난감팽이', '전투팽이', '3세대배틀팽이', '팽이배틀', '달팽이음식', '달팽이요리', '달팽이', '국민팽이']"
아이언맨,131,16,"['아이언맨죽음', '아이언맨슈트', '아이언맨수트', '무비트립아이언맨', '아이언맨새슈트', '아이언맨은퇴선언', '아이언맨토니스타크', '아이언맨캡틴아메리카', '아이언맨타이탄', '아이언맨의행동', '어벤져스4아이언맨', '로다주아이언맨', '아이언맨근황', '아이언맨암살', '아이언맨은퇴', '로버트다우니주니어아이언맨']"
어벤져스,131,50,"['어벤져스인피니티워', '어벤져스3', '어벤져스4', '어벤져스인피니티워예고편', '어벤져스ost', '어벤져스인피니티워ost', '마블어벤져스인피니티워', '어벤져스인피니티워분석', '어벤져스2', '어벤져스인피니티워리뷰', '마블어벤져스', '마블어벤져스인피니티워예고편', '어벤져스3인피니티워', '어벤져스예고편', '어벤져스인피니티워번역', '어벤져스인피니티워후기', '어벤져스인피니티워오역', '어벤져스인피니티워타노스', '어벤져스인피니티워출연진', '어벤져스4예상', '어벤져스4엔드게임', '어벤져스4앤드게임', '어벤져스무비', '어벤져스4가망이없어', '어벤져스4아이언맨', '어벤져스마블', '폴러드어벤져스', '어벤져스인피니티워트레일러', '어벤져스앤트맨', '어벤져스근황', '어벤져스인피니티워앤트맨', '어벤져스3예고편', '어벤져스영화', '어벤져스3분석', '어벤져스:인피니티워', '어벤져스명장면', '어벤져스티저', '어벤져스패러디', '어벤져스메인', '어벤져스;', '어벤져스인피니티워;', '어벤져스4제목', '어벤져스인터뷰', '어벤져스인피니티워정보', '어벤져스인피니티워감독', '어벤져스가불러주는캐롤', '어벤져스가불러주는크리스마스캐롤', '어벤져스가불러주는', '어벤져스캐롤', '어벤져스크리스마스']"
movie,129,104,"['movietrailer', 'newmovie', 'youtubemovie', 'pixarmovie', 'familymovie', 'moviereview', 'movieinterpretation', 'movierecommendation', 'moviereviews', '2nddeadpoolmovie', 'deadpoolmovie', 'moviegifted', 'movieplot', 'bestsci-fimovie', 'moviesongs', 'summermovie', ""she'sthemanmovie"", 'queenmovietrailer', 'moviecircle2015', 'queenmovie', 'bohemianrhapsodymovie', 'moviebacktothefuture', 'freddiemercurymovie', 'devilmoviereview', 'devilmovieending', 'devilmovie', 'devilmovietrailer', 'bestmovie', 'koreanmovie', 'loot2fullmovie', 'hitnepalimovieloot2', 'loot2superhitfullmovie', 'nepalifullmovieloot2', 'loot2fullmoviesaugatmalla', 'newnepalimovieloot2fullmovie', 'newnepalifullmovieloot2', 'nepalimovie', 'powermovie', 'priyankakarkinewmoviepuranodunga', 'superhitnepalifullmoviepuranodunga', 'menukapradanewmoviepuranodunga', 'maotesgurungnewmoviepuranodunga', 'dayahangrainewmoviepuranodunga', 'newcomedyromancemoviepuranodunga', 'newnepalifullmoviepuranodunga', 'puranodunganepalifullmovie', 'rambabugurungmoviepuranodunga', 'puranodungafullmovie', 'latestanmolkcmovies', 'upcomingnepalimovietrailers', 'krinepalimovietrailerdownload', 'anmolkcnepalimoviekri', 'krinepalimoviepromo', 'mostawaitednepalimovietrailers', 'krinepalimoviefirstlook', 'anoopbikramshahinepalimoviekri', 'newnepalimoviekri', 'latestnepalimovietrailer', 'nepalimoviekritrailer', 'newnepalimovie2018', 'rabindrajhajatrafullmovie', 'jatranepalifullmoviedownload', 'jatranepalifullmovieonline', 'rabindrasinghbaniyajatramovie', 'latesthitnepalifullmoviejatra', 'newnepalijatrafullmovie', 'jatrahitnepalimovie', 'bipinkarkijatrafullmovie', 'superhitnepalimoviejatra', 'jatranepalifullmovie', 'badgeniusmovie', 'missionimpossiblemovie', 'missionimpossiblenewmovie', 'hitnepalimovie', 'newnepalimovie', 'superhitnepalimovie', 'gamemovie', 'socialmovie', 'marvelmovie', 'topmovie', 'stevensdeknightmovie', 'nepalimovietrailer', 'johnboyegarobotmovie', 'newjohnboyegamovie', 'pacificrimuprisingmovie', 'johnboyegamovie', 'newpacificrimmovie', 'pacificrimmovie', 'nepalimovieshatrugate', 'shatrugatenepalimoviesong', 'bestnepalimovie', 'nepalimovie2017', 'rapaimohanishatrugatemoviesong', 'latestnepalimovie', 'hitnepalimovie2018', 'bhairemoviesong', 'nepalimoviebhaire', 'bhairenepalimoviesong', 'latestnepalimoviesong2018', 'nepalifullmovie', 'nepalimoviesatrugate', 'satrugatemovietrailer', 'superhitmovieofpradipbhattari', 'nepalimoviesatrugatetrailer']"
beybladeburst,123,2,"['beybladeburstgod', 'beybladeburstgodamv']"
베이블레이드버스트,123,11,"['베이블레이드버스트대회', '베이블레이드버스트대결', '베이블레이드버스트만화', '베이블레이드버스트갓', '베이블레이드버스트초제트', '베이블레이드버스트갓애니', '베이블레이드버스트초제츠', '베이블레이드버스트갓25화', '베이블레이드버스트갓랭킹', '베이블레이드버스트시즌3', '베이블레이드버스트제츠']"
애니메이션,122,11,"['일본애니메이션', '애니메이션다시보기', '애니메이션데마시안', '게임애니메이션', '애니메이션다시보기티라노사우루스', '애니메이션다시보', '애니메이션추천', '일본명작애니메이션', '뽀로로장난감애니메이션', '4분기애니메이션', '여아애니메이션']"
