Auto_tags,number,overlap_num,overlap_word
[none],38,0,[]
시승기,36,13,"['신형싼타페시승기', '신형싼타페2.2시승기', '코나시승기', '티구안시승기', '신형싼타페5인승시승기', '싼타페7인승시승기', '더뉴쏘렌토시승기', '비교시승기', '싼타페2륜시승기', '싼타페tm비교시승기', '한상기시승기', '싼타페tm시승기', '#주니tv#자동차#자동차블로거#시승기#자동차시승']"
자동차,36,13,"['자동차리뷰', '현대자동차', '기아자동차', '자동차버튼기능', '자동차기능', '쌍용자동차', '중고자동차', '중고자동차판매', '자동차버튼', '자동차튜닝', '자동차경매', '자동차자가수리', '#주니tv#자동차#자동차블로거#시승기#자동차시승']"
모트라인,31,0,[]
모터그래프,31,0,[]
자동차리뷰,28,0,[]
리뷰,28,8,"['자동차리뷰', '넥소리뷰', '싼타페tm리뷰', '신형싼타페5인승리뷰', '한상기리뷰', '신형싼타페가솔린리뷰', '카리뷰', '차리뷰']"
오토뷰,28,0,[]
motline,26,0,[]
터보,26,2,"['싼타페tm2.0터보', '터보엔진']"
윤이사,26,0,[]
하부,26,0,[]
review,26,1,['carreview']
훑어보기,26,0,[]
살펴보기,26,0,[]
후리기,26,1,['똥고후리기']
규감독,26,0,[]
하체,26,0,[]
성은,26,0,[]
또치,26,1,['또치감독']
레이싱모델,26,0,[]
햄토리,26,0,[]
노사장,22,0,[]
도우너,21,0,[]
블랙박스,11,2,"['블랙박스로본세상', '블랙박스속도계산']"
벤츠,11,0,[]
중고차,10,41,"['발품중고차', '중고차대디', '중고차후기', '중고차영상', '중고차순위', '중고차상태확인', '중고차구매', '중고차거래', '중고차허위매물', '중고차가격', '중고차확인', '중고차구매요령', '중고차허위딜러', '중고차사고차', '중고차시세', '중고차직거래', '안심중고차', '중고차크루', '중고차매매', '말리부중고차', '중고차시세표', '중고차매매사이트', '스포티지중고차', '중고차사기', '중고차확인법', '깨끗한중고차', '중고차거래후기', '날개중고차', '중고차인사이드', '중고차판매', '중고차딜러', '용인중고차', '일산중고차', '중고차폴리스', '중고차달인', '인천중고차', '중고차나라', '중고차보안관', '안산중고차', '수원중고차', '중고차구입']"
현대,9,5,"['현대자동차', '현대싼타페', '현대신형싼타페', '현대신형싼타페tm2.0디젤7인승htrac', '현대차']"
신차,9,1,['신차출시']
기아,9,3,"['기아자동차', '기아차', '기아모닝']"
아우디,8,1,['아우디r8중고']
