Game_tags,number,overlap_num,overlap_word
도티,369,61,"['클래시로얄도티', '로블록스도티', '도티로블록스', '도티모바일게임', '도티잠뜰', '도티쵸쵸우', '모바일게임도티', '도티마인크래프트', '마인크래프트도티', '도티클래시로얄', '도티점프맵', '도티파쿠르', '도티경찰과도둑', '도티탈출맵', '도티노래', '도티실사', '도티일상', '도티얼굴', '도티우리이야기', '도티모드상황', '테스터훈도티', '도티의특별한일상', '유튜브팬페스트도티', '도티팬페스트', '도티유튜브팬페스트', '도티vlog', '팬페스트도티', '도티레드카펫', '도티미션야생', '칠각별도티탈', '도티미니게임', '도티미션야생벌칙', '마크도티', '미션야생벌칙도티', '노래도티', '라온도티', '도티마인크래프트술래잡기', '도티라온', '우리이야기도티', '도티운전하다', '도티드라이브', '도티운전', '도티차', '도티자동차', '운전도티', '도티샌드박스', '도티오피스', '도티사무실', '도티생존', '도티로얄어드벤쳐', '도티모드', '도티좀비고', '도티상황극', '도티스튜디오', '로얄어드벤쳐도티', '도티촬영', '모바일도티', '도티눈치게임', '도티쿠키요미', '도티모바일', '도티황혼의숲']"
모바일게임,269,8,"['도티모바일게임', '모바일게임도티', '밍모모바일게임', '모바일게임밍모', '모바일게임크리에이터', '2018모바일게임', '모바일게임추천', '모바일게임전문']"
lol,262,4,"['lolclient', 'gameplaylol', '2018lol', 'lolip']"
오버워치,234,38,"['오버워치김재원', '오버워치감사제', '오버워치트레이서케이크', '오버워치프로필숨기기', '오버워치김재원대리', '오버워치김재원개발자대리', '오버워치개발자대리', '김재원오버워치개발자', '오버워치개발자', '오버워치대리', '오버워치안스', '오버워치김재원프로게이머', '오버워치롤큐', '오버워치패치', '오버워치스킨', '오버워치애니메이션', '오버워치uprising', '오버워치옴닉', '오버워치성우', '오버워치옴닉의반란', '오버워치코리아', '오버워치업데이트', '오버워치신영웅', '오버워치브리기테', '오버워치배틀넷김재원', '김재원오버워치배틀넷', '김재원오버워치', '김재원오버워치영상', '오버워치배틀넷', '오버워치김재원축구게임', '오버워치자선', '오버워치기부', '오버워치핑크메르시', '오버워치자선스트리밍', '오버워치유방암재단협력', '오버워치김재원고소', '오버워치김재원유튜버', '오버워치김재원100만유튜버']"
롤,225,18,"['롤공략', '롤챔스', '오버워치롤큐', '롤올스타전', '롤랑', '롤챔스포스트시즌', '롤챔스스프링', '롤러펜', 'usb롤러펜', '마인크래프트트롤링', '롤시즌8', '롤강의', '롤lck페이커인터뷰', '롤페이커채팅', '롤페이커', '롤lckmvp', '롤페이커mvp', '롤페이커인터뷰']"
클래시로얄,225,18,"['클래시로얄도티', '클래시로얄전설상자', '클래시로얄광고', '클래시로얄상자까기', '클래시로얄버그판.클로얄핵', '클래시로얄버그', '도티클래시로얄', '클래시로얄전설카드', '클래시로얄주작', '클래시로얄크리에이터', '클래시로얄상자깡', '연예인클래시로얄', '클래시로얄연예인', '비누클래시로얄', '클래시로얄상자', '클래시로얄덱', '클래시로얄전설', '클래시로얄트로피카나']"
먹방,216,5,"['복불복먹방', '술먹방', '보겸먹방', '테스터훈먹방', '#먹방']"
게임,194,131,"['모바일게임', 'rider게임', '키우기게임', '라이더게임', '항아리게임', '병맛게임', '도티모바일게임', '공포게임', '모바일게임도티', '러쉬게임', '우왁굳의게임방송', '게임실황', '총게임', '허팝게임', '플래시게임', '게임리뷰', '팀게임', '게임추천', '넷마블넷마블게임즈', '모바이게임추천', '액션게임', '밍모게임', 'pc게임', '네트워크게임', '온게임넷', 'vr게임', '왕군게임국', '스팀게임', '밍모모바일게임', '다음게임', '노가다게임', '헝거게임', '도티미니게임', '게임밍모', '모바일게임밍모', '핸드폰게임', '휴지게임', '말이야와게임들', '마크미니게임', '엄마몰래게임', '재미난게임', '탈출게임', '모바일게임크리에이터', '퀴즈게임', '메탈킴게임리뷰', '김스카이게임리뷰', '게임기', '비디오게임', '복불복음식게임', '미니게임', '할만한게임', '카카오게임', '2018게임', '병맛일본게임', '엄마가게임기를숨겼다', '지하철만드는게임', '멀티플레이어게임', '목표기반게임', '게임플레이', '복싱게임', '권투게임', '2018모바일게임', 'fps게임', '슈팅게임', '한국게임시장', '한국게임', '한국게임사', '게임주저리', '한국게임회사', '게임사건', '신게임주저리', '메탈킴게임주저리', '메탈킴의게임주저리', '게임사고', '물고기키우기게임', '목소리로하는게임', '모바일게임추천', '멸망게임', '지구멸망게임', '축구게임김재원', '김재원축구게임', '축구게임', '김재원축구게임감정기복', '오버워치김재원축구게임', '도티눈치게임', '눈치게임', '분위기게임', '호러게임', '홍방장게임', '앱게임', '원라인앱게임', '밍모라이더게임', '고전게임', '신작게임', '생존게임', '여자게임', '암걸리는게임', '홍반장게임', '선게임', '텐센트게임', '게임게임즈', '도로시슈게임', '밥게임', '도로시e녀게임', '도로시게임즈', '슈게임', '레트로게임기', '스틱게임', '레트로게임', '게임포스트', '도로시게임', '밥만드는게임', '밥짓는게임', '중독성게임', '게임공략', '어려운게임', '프리티걸게임', '오락실게임', '도로시플래시게임', 'vr게임기', '스포티비게임즈', '대작게임', '국산게임', '폰게임', '덩크샷게임', 'catchup게임', '모바일게임전문', '게임단', '포켓몬게임', '포켓몬스터게임', '종합게임']"
overwatch,189,0,[]
리그오브레전드,181,0,[]
보겸,175,3,"['보겸tv', '테스터훈보겸', '보겸먹방']"
