Politic_tags,number,overlap_num,overlap_word
문재인,384,99,"['문재인대통령', '문재인정부', '문재인중국', '문재인퇴진', '문재인시진핑', '문재인탄핵', '김어준문재인', '문재인포항', '문재인충칭', '문재인포항여고', '문재인중국방문', '문재인케어', '문재인대통령중국', '문재인이국종', '문재인지지율', '문재인세월호', '시진핑문재인', '문재인인도네시아', '문재인위안부', '문재인신년사', '문재인포항방문', '문재인혁신', '문재인북한', '문재인중국인기', '문재인방중', '문재인전안법', '문재인소방차', '문재인지지도', '문재인썰전', '문재인외교', '문재인이명박', '문재인대통령방중', '문재인임종석', '문재인조국', '문재인시계', '김정숙문재인', '트럼프문재인', '문재인1987', '문재인중국공항', '문재인혼밥', '문재인김정숙중국혼밥', '문재인홀대', '임종석문재인', '문재인첫일정', '문재인북한산', '문재인10끼중8끼', '문재인영접', '문재인북경', '문재인귀순', '문재인jsa', '문재인교전수칙', '문재인이영애', '문재인박근혜', '문재인추미애', '문재인조공외교', '문재인비판', '문재인베이징대', '문재인조계사', '문재인개성공단', '문재인내각', '이재명문재인', '문재인지지자', '문재인복지정책', '문재인캐어', '문재인영화관람', '문재인영흥도', '문재인홍준표', '영흥도문재인', '문재인내란죄', '박근혜대통령새마을박정희미국캐나다문재인변희재서석구조원진대한애국당국회탄핵무효인권침해', '문재인평창동계올림픽', '문재인조선소', '문재인거제', '제천문재인', '화재현장문재인', '문재인수능', '문재인스리랑카', '문재인시리세나', '성탄절음악회문재인', '강동원문재인', '문재인강동원', '박근혜대통령보수대구태극기집회대한애국당조원진자한당홍준표문재인국민의당민심국회대한민국여론친박', '문재인피자', '문재인피자마루', '문재인쇼', '문재인국정지지도', '문재인대통령스리랑카', '문재인대통령베트남', '문재인베트남', '문재인동남아순방', '#문재인#대통령#국빈만찬#중국#시진핑#중국방문#김정숙', '#여사#문재인대통령#문재인시진핑#', '문재인기자', '문재인북경대연설', '문재인연설', '문재인제천화재현장', '문재인폭행기자', '문재인안보', '문재인반미']"
[none],365,0,[]
뉴스,255,78,"['김어준의뉴스공장', '뉴스공장', '김어준뉴스공장', '뉴스룸', '정규재뉴스', '뉴스브리핑', '한국뉴스', '뉴스데일리베스트', '뉴스타운', '뉴스타운tv', '데일리베스트뉴스', '김현정의뉴스쇼', '뉴스프로그램', 'tv조선뉴스', '뉴스룸다시보기', '뉴스룸풀영상', '뉴스다시보기', '스브스뉴스', '뉴스풀영상', '동영상뉴스', '프리덤뉴스', 'sbs8뉴스', '8뉴스', '에스비에스뉴스', 'sbs뉴스', '뉴스k', 'jtbc뉴스룸', '저녁뉴스', '정치뉴스', '뉴스타파', '뉴스쇼', '자막뉴스', '스마트뉴스', '뉴스공장김어준', '김현정뉴스쇼', '뉴스케이', '뉴스데스크', 'mbc뉴스', '디펜스뉴스', '글로벌디펜스뉴스', '뉴스공장공개방송', '뉴스공장전체', '뉴스공장보이는라디오', '뉴스공장실시간', '뉴스공장pd', '뉴스방송사고', '뉴스포차', '9시뉴스', 'kbs뉴스9', '뉴스9', '오마이뉴스', '추억의뉴스통', '뉴스룸정우성', '일mbc아침뉴스12132017', '일mbc아침뉴스', '아침뉴스', 'mbc아침뉴스', '2017뉴스타운어워드', '김어준의_뉴스공장', '실시간뉴스', '뉴스특보', 'ytn뉴스', 'ytn실시간뉴스', 'jtbc뉴스', 'mbc뉴스데스크', '뉴스앵커', '좋은뉴스', '뉴스8', '뉴스룸전체다시보기', '주말뉴스룸', '뉴스를쪼다', '뉴스닥', '12월16일뉴스', '토요일뉴스룸다시보기', '2017년12월16일뉴스룸다시보기', '12월16일뉴스룸다시보기', '7시뉴스', '커널뉴스']"
박근혜,251,29,"['박근혜대통령', '조갑제조갑제닷컴조갑제tv월간조선조선일보보수우파애국진보헌법국군대한민국애국보수박정희박근혜이승만', '박근혜세월호', '박근혜석방', '박근혜구속', '문재인박근혜', '박근혜매달1억', '#손석희박근혜대통령', '#손석희박근혜', '국정원박근혜', '박근혜개성공단폐쇄단독결정', '박근혜개성공단폐쇄', '박근혜모하메드', '박근혜유영하', '우병우박근혜', '박근혜대통령새마을박정희미국캐나다문재인변희재서석구조원진대한애국당국회탄핵무효인권침해', '박근혜원전세일즈외교', '박근혜재판', '박근혜국정원', '박근혜국정원mb정부', '박근혜정부', '박근혜uae원전외교', '박근혜대통령보수대구태극기집회대한애국당조원진자한당홍준표문재인국민의당민심국회대한민국여론친박', '이명박근혜심판범국민행동본부', '박근혜단식', '박근혜대통령국선변호인', '이명박박근혜국정원', '이명박근혜', '박근혜감옥생활']"
홍준표,177,11,"['홍준표대표', 'mbc가이상해졌다는홍준표의원', '홍준표신년사', 'mbc가이상해졌어요홍준표의원', '홍준표개헌', '문재인홍준표', '박대통령조원진서울역태극기집회문화무죄이완구홍준표대한애국당정치자한당더불어민주유튜브박정희검찰법원', '위기의홍준표', '박근혜대통령보수대구태극기집회대한애국당조원진자한당홍준표문재인국민의당민심국회대한민국여론친박', '홍준표이명박', '노회찬홍준표']"
트럼프,166,16,"['트럼프대통령', '트럼프방한', '트럼프아시아순방', '트럼프문재인', '도널드트럼프', '트럼프아베', '폴라이언트럼프', '트럼프국회연설', '트럼프풍자', '트럼프트위터', '트럼프동아시아', '트럼프시진핑', '트럼프쩐다이꽝', '트럼프군사옵션', '김정은트럼프', '트럼프한국일본']"
이명박,166,49,"['이명박다스', '이명박구속', '이명박완전정복', '이명박생일잔치', '이명박생일파티', '이명박당선', '이명박생일', '이명박결혼기념일', '주진우이명박', '이명박검찰', '이명박김어준', '유시민이명박', '문재인이명박', '이명박바레인', '이명박대통령', '이명박출국금지', '이명박출국현장', '이명박출국', '이명박심판', '이명박구속여부', '이명박농협', '이명박두바이', '다스이명박', '이명박원전수주', '이명박출두', '이명박의사표명', '이명박공항', '이명박모하메드', '이명박중동', '이명박18년운전기사', '이명박bbk', '이명박운전기사', '이명박정부핵폐기물', '이명박원전수출', '이명박정부원전계약', '이명박원전계약', '이명박정부이면계약', '이명박근혜심판범국민행동본부', '홍준표이명박', '이명박소환', '이명박박근혜국정원', '이명박사저', '이명박근혜', '이명박포토라인', '이명박집', '이명박수사', '이명박전대통령', '이명박가훈', '이명박.국정원.mbc']"
임종석,160,16,"['임종석비서실장', '문재인임종석', '임종석추미애', '임종석문재인', '임종석uae', '임종석의혹', '임종석아랍', '자유한국당국정감사임종석', '임종석특사', '임종석중동특사', '김종대임종석', '임종석어머니', '임종석비서질장', '임종석김정숙', '임종석휴가', '임종석바레인']"
자유한국당,152,12,"['자유한국당태블릿pc', '자유한국당김성태', '자유한국당뇌물', '자유한국당태블릿pc조작진상조사tf', '자유한국당기자회견', '자유한국당평창', '자유한국당국정감사임종석', '김성태자유한국당', '자유한국당태블릿pc조작진상조사태스크포스', '자유한국당초상집', '자유한국당최경환', '최경환자유한국당']"
김정은,152,7,"['김정은신년사', '북한김정은', '김정은건강', '김정은자평', '김정은의', '김정은트럼프', '북한김정은선넘어']"
