SciTech_tags,number,overlap_num,overlap_word
lg,19,10,"['lg전자', 'lgg7', 'lgg7thinq', 'lgsmartphone', 'lgxbts', 'lg매직스페이스', 'lg디오스', 'lg디오스노크온', 'lg냉장고', 'lg디오스노크온매직스페이스']"
[none],17,0,[]
smartphone,17,1,['lgsmartphone']
bostondynamics,17,0,[]
leggedlocomotion,13,0,[]
팀킴,12,1,['팀킴광고']
r9,12,0,[]
청소기,12,1,['무선청소기']
김민정,12,0,[]
엘지전자,12,0,[]
김초희,12,0,[]
김영미,12,0,[]
올림픽,12,0,[]
art,12,5,"['smartphone', 'lgsmartphone', 'apartment', 'smarthome', 'smartspeaker']"
a9,12,1,['코드제로a9']
t9,12,0,[]
무선청소기,12,0,[]
흡입력,12,0,[]
김선영,12,0,[]
lg전자,12,0,[]
김은정,12,0,[]
apple,11,10,"['appleipad', 'applemusic', 'applepencilforipad', 'ipadapplepencil', 'applepencil', 'thenewipadandapplepencil', 'ipadandapplepencil', 'appleevent', 'appleeducation', 'applea10']"
dynamicrobots,10,0,[]
diy,10,1,['diypolishball']
tutorial,8,0,[]
인공지능,8,3,"['인공지능일자리', '인공지능일자리문제', '인공지능로봇']"
아이폰텐,8,0,[]
spotmini,8,0,[]
공예,8,0,[]
스마트폰,8,3,"['새로운스마트폰', '안드로이드스마트폰', '해외스마트폰']"
iphonex,8,1,['iphonexreview']
lifehacks,7,0,[]
thinq,7,1,['lgg7thinq']
g7,7,2,"['lgg7', 'lgg7thinq']"
lgg7,7,1,['lgg7thinq']
humanoidrobots,7,0,[]
lgg7thinq,7,0,[]
dynamicrobot,7,1,['dynamicrobots']
아이폰x,7,11,"['아이폰x개봉기', '아이폰x리뷰', '아이폰x사용기', '애플아이폰x언박싱', '아이폰x후기', '애플아이폰x리뷰', '아이폰x언박싱', '애플아이폰x', '애플아이폰x후기', '애플아이폰x사용기', '애플아이폰x개봉기']"
galaxys9,7,6,"['galaxys9pl;us', 'samsunggalaxys9', 'galaxys9specs', 'galaxys9plus', 'galaxys9releasedate', 'samsunggalaxys9plus']"
lgsmartphone,7,0,[]
camera,7,0,[]
애플,7,12,"['애플아이폰x언박싱', '애플아이폰x리뷰', '애플아이폰x', '애플아이폰x후기', '애플아이폰x사용기', '애플아이폰x개봉기', '애플아이패드', '새아이패드애플펜슬', '애플펜슬아이패드', '아이패드애플펜슬', '애플펜슬', '애플아이패드6세대']"
robotics,7,0,[]
라이프박,6,0,[]
듀얼배터리,6,0,[]
여자컬링팀,6,0,[]
코드제로a9,6,0,[]
안경선배,6,0,[]
컬링,6,4,"['여자컬링팀', '컬링팀', '컬링국가대표', '컬링세계선수권']"
아이폰x개봉기,6,1,['애플아이폰x개봉기']
지도시간,6,0,[]
아이폰x리뷰,6,1,['애플아이폰x리뷰']
생각,6,0,[]
아이폰x사용기,6,1,['애플아이폰x사용기']
편집,6,0,[]
galaxy,6,12,"['galaxys9', 'galaxynote5', 'samsunggalaxy', 'galaxynote8', 'galaxys9pl;us', 'galaxys8', 'galaxys7', 'samsunggalaxys9', 'galaxys9specs', 'galaxys9plus', 'galaxys9releasedate', 'samsunggalaxys9plus']"
속임수,6,0,[]
광고,6,1,['팀킴광고']
cordzero,6,0,[]
컬링팀,6,1,['여자컬링팀']
ideas,6,5,"['ideaswithplasticbottles', 'ideaswithdrill', 'inventionideas', 'ideasforphones', 'ideaswithballoons']"
crafts,6,0,[]
idea,6,6,"['ideas', 'ideaswithplasticbottles', 'ideaswithdrill', 'inventionideas', 'ideasforphones', 'ideaswithballoons']"
코드제로,6,1,['코드제로a9']
유용한것들,6,0,[]
tricks,6,1,['audiotricks']
수공,6,0,[]
아이디어,6,4,"['플라스틱병으로만든아이디어', '훈련과아이디어', '휴대폰아이디어', '발명아이디어']"
