Politic_tags,number
문재인,384
[none],365
뉴스,255
박근혜,251
홍준표,177
트럼프,166
이명박,166
임종석,160
자유한국당,152
김정은,152
김어준,136
안철수,130
박정희,129
청와대,126
탄핵,119
김어준의뉴스공장,117
류여해,116
최순실,116
대한민국,116
news,115
북한,115
지진,113
문재인대통령,112
신의한수,110
중국,110
미국,109
이국종,106
정규재,102
조원진,101
정규재tv,101
대한애국당,100
포항,100
국민의당,100
국정원,99
시진핑,97
시사,95
정치,94
태극기,94
뉴스공장,93
배현진,93
jsa,93
jtbc,91
사드,91
바른정당,90
손석희,90
세월호,87
정미홍,84
일본,82
김진태,82
대통령,82
김어준뉴스공장,82
정유라,82
유승민,81
김정민,80
귀순,80
이재명,80
신동호,79
민주노총,79
전쟁,79
김장겸,79
강경화,78
전희경,77
구속,76
김성태,76
조국,76
황장수,76
변희재,75
경제,74
거짓말,72
김은지,72
틸러슨,72
심상정,71
아베,71
미사일,71
고영주,70
이승만,69
icbm,68
선제타격,68
고대영,68
원세훈,68
댓글,67
유영하,67
탁현민,66
주진우,66
국제,65
집회,64
김문수,64
삼성,64
재판,64
오바마,64
새누리당,64
민경욱,64
미군철수,64
이재용,64
최태민,63
관훈,63
노조,63
정봉주,63
김규리,63
조윤선,62
김종대,62
국무장관,61
출당,61
동문서답,61
재배치,61
토론,61
핵개발,61
핵실험,61
김사랑,61
독도,61
유병언,61
slbm,61
택시운전사,61
목함지뢰,61
대선,61
전술핵,61
저축은행,61
김기춘,61
진주의료원,61
힐러리,61
박지원,60
mbc,60
태블릿pc,59
ytn,58
박원순,57
뉴스룸,57
김무성,57
생방송,57
live,56
정규재티비,56
jkj,56
정규재뉴스,56
뉴스브리핑,53
윤창중,53
jtbcnews,52
북핵,51
태극기집회,50
칼럼,50
홍종학,50
이방카,50
한미동맹,50
korea,50
도발,50
sbs,49
더불어민주당,49
검찰,49
sbsnews,48
윤창중칼럼세상,48
윤칼세,48
koreanews,48
한국뉴스,48
흥진호,47
적폐,47
송영무,46
최승호,46
주사파,46
전두환,45
적폐청산,45
뉴스데일리베스트,45
kookminsisa,44
안원구,44
달빛잔향,44
팟케스트,44
국민시사,44
동상,44
김영상,44
조경태,44
김정재,44
우표,44
이언주,43
뉴스타운,43
황장수tv,43
조선일보,43
뉴스타운tv,43
데일리베스트뉴스,43
알파순,43
데일리베스트,43
김정숙,42
종편,42
노회찬,42
한국,42
김현정의뉴스쇼,41
mb,41
좌파,41
김대중,40
박대출,39
노무현,39
송희경,39
북폭,39
멜라니아,38
박수진,38
이국종교수,38
손상윤,37
이정렬,37
종북,37
한반도,37
국회,36
우종창,36
우종창의거짓과진실,35
개헌,35
김용민,35
귀순병사,34
황교익,34
우파방송,34
southkorea,34
종합편성,33
뉴스프로그램,33
라이브,33
동영상,33
tv조선,33
티브이조선,33
적화,33
티비조선,33
방송사,33
ch19,33
민주당,33
tv조선뉴스,33
유시민,33
채널19,33
애국방송,32
뉴스룸다시보기,32
jtbclive,32
빨갱이,32
젊은보수,32
젊은우파,32
주사파정권,32
뉴스룸풀영상,31
뉴스다시보기,31
스브스뉴스,31
포항지진,31
국가,31
전체,31
인민민주주의,31
하태경,31
다스,30
뉴스풀영상,30
동영상뉴스,29
시사인,29
video,29
사회,29
cbs,29
스브스,29
videomug,29
비디오머그,29
mug,29
언론노조,28
박근혜대통령,28
미디어협동조합,28
국민tv,28
헌법,28
주간모음,27
9595쇼주간모음,27
김관진,27
김어준의,27
풀버전,27
백반토론주간모음,27
공장,27
9595쇼백반토론,27
손상대,27
백반토론풀버전,27
배칠수전영미백반토론,27
백반토론다시듣기,27
배칠수전영미9595쇼,27
9595쇼다시듣기,27
김은지기자,27
백반토론,26
mbc노조,25
kbs,25
안민석,24
kbs공영노조,24
민노총,24
대한문,24
정의당,24
참수작전,24
임상훈,23
이지나,23
실시간,23
안희정,23
거짓의산,22
yonhapnewstv,22
우병우,22
최강욱,22
김기수,21
방중,21
김현권,20
양지열,20
프리덤뉴스,20
박범계,20
문재인정부,20
sbs보도국,19
sbs8news,19
sbs8뉴스,19
8뉴스,19
서울방송,19
seoulbroadcastingsystem,19
이병태,19
에스비에스뉴스,19
에스비에스,19
정태인,19
koreannews,19
sbs뉴스,19
뉴스k,19
국가안보,19
장시호,19
ㅓ슟,19
국본,18
518,18
정상근,18
한국당,18
