"","tag_43_1","Freq"
"1","1인 사업",1
"2","3도 화상",2
"3","GNE근육병",1
"4","가구",1
"5","가방",3
"6","가지요리",1
"7","가출 메모",2
"8","가출 준비물",2
"9","갈비찜",1
"10","갈비탕",2
"11","감옥 살이",1
"12","강아지",4
"13","강아지교육",4
"14","강아지꼬리",2
"15","강아지성격",2
"16","강원 원주시",2
"17","강형욱",6
"18","강훈련사",2
"19","개그맨",2
"20","개물림",2
"21","개통령",2
"22","개혐오",2
"23","거울 신경",2
"24","게스트하우스",4
"25","결혼 앨범 사진",1
"26","결혼앨범사진",1
"27","경기도 남양주",3
"28","경기도 수원시",2
"29","경남 김해시",1
"30","경남 진주시",3
"31","경남 창원시",2
"32","경부 신경총 차단",1
"33","경위서",2
"34","계단",2
"35","고구마",1
"36","고막손상",2
"37","고부",2
"38","고부 갈등",1
"39","고부간의 대화",2
"40","고부대화",2
"41","고성",2
"42","고요한아침",2
"43","고향 동생",2
"44","공동 빨래터",3
"45","공연",1
"46","공항",3
"47","관철구축",1
"48","교회 예배",2
"49","구들장",1
"50","구리시",3
"51","구명조끼",3
"52","국수 삶기",1
"53","그림 심리분석",2
"54","그물던지기",1
"55","근육 이완제",2
"56","근육 퇴화",1
"57","금반지 선물",2
"58","금은방",3
"59","금팔찌",1
"60","기상",1
"61","기타 연주",3
"62","김도균",13
"63","김밥",2
"64","김세린",5
"65","김이나",11
"66","김장미",4
"67","김치 담그기",1
"68","김치가게",2
"69","김현우",13
"70","꽃돼지",2
"71","꿈나라",2
"72","낀양",2
"73","난로",3
"74","난방",1
"75","난소암",2
"76","남매",2
"77","남자",11
"78","남편",3
"79","남편 출근",2
"80","납골당",1
"81","내레이션 소유진",2
"82","내레이션 하희라",2
"83","냉면집",3
"84","네티즌 제보",2
"85","네팔",2
"86","네팔 결혼식",2
"87","네팔 시장",2
"88","노견",2
"89","노래방",2
"90","노인성 난청",2
"91","노젓기",2
"92","녹차 밭",2
"93","뇌경색",2
"94","뇌자극",2
"95","눈치",2
"96","뉴스",4
"97","늦둥이",1
"98","다둥이아빠",3
"99","다롄시",1
"100","닥터피쉬",3
"101","단체손님",3
"102","달러",2
"103","달팽이관 전기 자극",2
"104","닭",3
"105","닭구이",3
"106","담배",2
"107","대구 남구",1
"108","대소변",3
"109","대수술",2
"110","대학 보내주기",1
"111","대형견",2
"112","데이트",4
"113","도마뱀",3
"114","돌발 통증",2
"115","돌산 갓김치",2
"116","돌연변이 유전자",1
"117","동네 친구",1
"118","동네친구",3
"119","동물원",3
"120","동짓날",1
"121","들기름",3
"122","등산팁",2
"123","등원 버스",1
"124","라면",5
"125","라지풋스파",3
"126","러브하우스",3
"127","루어링",2
"128","리키김",3
"129","마약성 진통제",1
"130","마운팅",2
"131","마을회관",2
"132","마음의 준비",2
"133","마트",2
"134","막내동생",3
"135","만년설",2
"136","말티즈",2
"137","망고",3
"138","멀미",3
"139","멜로",11
"140","며느리",1
"141","며느리 눈물",3
"142","모종 심기",3
"143","목줄",4
"144","무단결근",2
"145","무릎관절",1
"146","문제견",2
"147","물고기",3
"148","물놀이",3
"149","미끄러짐",2
"150","미역국",3
"151","바다",3
"152","바닷가",3
"153","반낫떼",2
"154","반려견",6
"155","반려견산책",4
"156","반려견여행",2
"157","반려견행동",2
"158","반찬",3
"159","발발이",2
"160","방광",2
"161","방글라데시",3
"162","밭일",2
"163","배윤경",5
"164","베개",1
"165","베를링턴테리어",2
"166","베트남",3
"167","베트남 떡",2
"168","베트남 며느리",1
"169","베트남 채소",3
"170","베트남 하우양",2
"171","베트남 호치민",2
"172","베트남동",2
"173","베트남어",1
"174","변명",2
"175","변화",2
"176","병원놀이",2
"177","보성",2
"178","보수작업",1
"179","보쌈",3
"180","보조기",1
"181","복부 이상소견",2
"182","복합부위통증증후군",2
"183","볼륨",2
"184","봉합수술",2
"185","부부 싸움",3
"186","부부싸움",2
"187","부산 기장군",1
"188","부산 북구",2
"189","부산 영도구",1
"190","부산시 연제구",1
"191","부추",1
"192","분노",2
"193","분리불안",2
"194","불만",3
"195","불평",3
"196","붕대",2
"197","비닐 앞치마",2
"198","비닐하우스",3
"199","비료",3
"200","비정형 안면통증",1
"201","비행기",2
"202","빈병",3
"203","빚",3
"204","빚보증",1
"205","빨래",2
"206","사돈가족",2
"207","사돈과의 만남",7
"208","사돈식구",3
"209","사람무는개",2
"210","사랑",11
"211","사랑 곳",2
"212","사유리",4
"213","사지 관절",1
"214","산책",5
"215","삶은 달걀",1
"216","삼겹살",2
"217","삼촌",2
"218","상식",4
"219","상추",2
"220","새벽",5
"221","새우",2
"222","새우양식장",1
"223","생선요리",3
"224","생신",3
"225","생육",3
"226","서울 송파구",1
"227","서주원",5
"228","서지혜",5
"229","선물",3
"230","선물증정",3
"231","선박 부품제조업체",2
"232","설거지",4
"233","설득",1
"234","설산",2
"235","세수",4
